categoryId,name,description,level,isActive,imageUrl,createdAt
CAT0001,Electrónica,Dispositivos y accesorios tecnológicos,1,true,https://cdn.ecommerce.gt/categories/cat0001.jpg,2018-08-17
CAT0002,Moda,Ropa calzado y accesorios de vestir,1,true,https://cdn.ecommerce.gt/categories/cat0002.jpg,2018-02-21
CAT0003,Hogar,Artículos para el hogar y decoración,1,true,https://cdn.ecommerce.gt/categories/cat0003.jpg,2019-07-18
CAT0004,Deportes,Equipamiento y ropa deportiva,1,true,https://cdn.ecommerce.gt/categories/cat0004.jpg,2019-05-17
CAT0005,Libros,Libros físicos y digitales,1,true,https://cdn.ecommerce.gt/categories/cat0005.jpg,2019-04-03
CAT0006,Belleza,Cosméticos cuidado personal y fragancias,1,true,https://cdn.ecommerce.gt/categories/cat0006.jpg,2018-10-13
CAT0007,Juguetes,Juguetes y juegos para niños,1,true,https://cdn.ecommerce.gt/categories/cat0007.jpg,2018-07-29
CAT0008,Alimentos,Alimentos bebidas y productos gourmet,1,true,https://cdn.ecommerce.gt/categories/cat0008.jpg,2018-06-28
CAT0009,Automóviles,Accesorios y repuestos para vehículos,1,true,https://cdn.ecommerce.gt/categories/cat0009.jpg,2020-05-14
CAT0010,Mascotas,Alimentos accesorios y cuidado de mascotas,1,true,https://cdn.ecommerce.gt/categories/cat0010.jpg,2018-03-07
CAT0011,Smartphones,Subcategoría de Electrónica: Smartphones,2,true,https://cdn.ecommerce.gt/categories/cat0011.jpg,2019-03-03
CAT0012,Laptops,Subcategoría de Electrónica: Laptops,2,true,https://cdn.ecommerce.gt/categories/cat0012.jpg,2020-03-23
CAT0013,Tablets,Subcategoría de Electrónica: Tablets,2,true,https://cdn.ecommerce.gt/categories/cat0013.jpg,2021-10-31
CAT0014,Televisores,Subcategoría de Electrónica: Televisores,2,true,https://cdn.ecommerce.gt/categories/cat0014.jpg,2022-02-23
CAT0015,Audio,Subcategoría de Electrónica: Audio,2,false,https://cdn.ecommerce.gt/categories/cat0015.jpg,2022-08-23
CAT0016,Cámaras,Subcategoría de Electrónica: Cámaras,2,false,https://cdn.ecommerce.gt/categories/cat0016.jpg,2020-03-27
CAT0017,Wearables,Subcategoría de Electrónica: Wearables,2,true,https://cdn.ecommerce.gt/categories/cat0017.jpg,2022-04-21
CAT0018,Gaming,Subcategoría de Electrónica: Gaming,2,true,https://cdn.ecommerce.gt/categories/cat0018.jpg,2019-01-14
CAT0019,Accesorios PC,Subcategoría de Electrónica: Accesorios PC,2,false,https://cdn.ecommerce.gt/categories/cat0019.jpg,2022-11-30
CAT0020,Redes,Subcategoría de Electrónica: Redes,2,true,https://cdn.ecommerce.gt/categories/cat0020.jpg,2020-11-27
CAT0021,Impresoras,Subcategoría de Electrónica: Impresoras,2,true,https://cdn.ecommerce.gt/categories/cat0021.jpg,2019-11-15
CAT0022,Almacenamiento,Subcategoría de Electrónica: Almacenamiento,2,true,https://cdn.ecommerce.gt/categories/cat0022.jpg,2020-11-20
CAT0023,Ropa Hombre,Subcategoría de Moda: Ropa Hombre,2,false,https://cdn.ecommerce.gt/categories/cat0023.jpg,2019-07-09
CAT0024,Ropa Mujer,Subcategoría de Moda: Ropa Mujer,2,true,https://cdn.ecommerce.gt/categories/cat0024.jpg,2019-07-18
CAT0025,Ropa Niños,Subcategoría de Moda: Ropa Niños,2,true,https://cdn.ecommerce.gt/categories/cat0025.jpg,2020-12-05
CAT0026,Calzado Hombre,Subcategoría de Moda: Calzado Hombre,2,false,https://cdn.ecommerce.gt/categories/cat0026.jpg,2019-03-30
CAT0027,Calzado Mujer,Subcategoría de Moda: Calzado Mujer,2,true,https://cdn.ecommerce.gt/categories/cat0027.jpg,2022-01-03
CAT0028,Bolsos,Subcategoría de Moda: Bolsos,2,true,https://cdn.ecommerce.gt/categories/cat0028.jpg,2021-02-14
CAT0029,Relojes,Subcategoría de Moda: Relojes,2,true,https://cdn.ecommerce.gt/categories/cat0029.jpg,2022-02-04
CAT0030,Joyería,Subcategoría de Moda: Joyería,2,true,https://cdn.ecommerce.gt/categories/cat0030.jpg,2022-07-11
CAT0031,Gafas,Subcategoría de Moda: Gafas,2,true,https://cdn.ecommerce.gt/categories/cat0031.jpg,2022-03-28
CAT0032,Ropa Deportiva,Subcategoría de Moda: Ropa Deportiva,2,true,https://cdn.ecommerce.gt/categories/cat0032.jpg,2022-12-13
CAT0033,Ropa Interior,Subcategoría de Moda: Ropa Interior,2,true,https://cdn.ecommerce.gt/categories/cat0033.jpg,2019-04-04
CAT0034,Sombreros,Subcategoría de Moda: Sombreros,2,true,https://cdn.ecommerce.gt/categories/cat0034.jpg,2020-08-15
CAT0035,Muebles,Subcategoría de Hogar: Muebles,2,true,https://cdn.ecommerce.gt/categories/cat0035.jpg,2020-04-21
CAT0036,Cocina,Subcategoría de Hogar: Cocina,2,true,https://cdn.ecommerce.gt/categories/cat0036.jpg,2021-02-17
CAT0037,Baño,Subcategoría de Hogar: Baño,2,true,https://cdn.ecommerce.gt/categories/cat0037.jpg,2021-07-17
CAT0038,Dormitorio,Subcategoría de Hogar: Dormitorio,2,true,https://cdn.ecommerce.gt/categories/cat0038.jpg,2019-11-30
CAT0039,Jardín,Subcategoría de Hogar: Jardín,2,true,https://cdn.ecommerce.gt/categories/cat0039.jpg,2020-12-28
CAT0040,Iluminación,Subcategoría de Hogar: Iluminación,2,true,https://cdn.ecommerce.gt/categories/cat0040.jpg,2022-10-04
CAT0041,Decoración,Subcategoría de Hogar: Decoración,2,true,https://cdn.ecommerce.gt/categories/cat0041.jpg,2022-12-08
CAT0042,Textiles,Subcategoría de Hogar: Textiles,2,true,https://cdn.ecommerce.gt/categories/cat0042.jpg,2022-06-01
CAT0043,Herramientas,Subcategoría de Hogar: Herramientas,2,true,https://cdn.ecommerce.gt/categories/cat0043.jpg,2021-12-29
CAT0044,Limpieza,Subcategoría de Hogar: Limpieza,2,false,https://cdn.ecommerce.gt/categories/cat0044.jpg,2019-12-01
CAT0045,Electrodomésticos,Subcategoría de Hogar: Electrodomésticos,2,true,https://cdn.ecommerce.gt/categories/cat0045.jpg,2021-02-16
CAT0046,Almacenamiento Hogar,Subcategoría de Hogar: Almacenamiento Hogar,2,true,https://cdn.ecommerce.gt/categories/cat0046.jpg,2022-08-03
CAT0047,Fitness,Subcategoría de Deportes: Fitness,2,true,https://cdn.ecommerce.gt/categories/cat0047.jpg,2022-11-03
CAT0048,Fútbol,Subcategoría de Deportes: Fútbol,2,true,https://cdn.ecommerce.gt/categories/cat0048.jpg,2019-04-25
CAT0049,Natación,Subcategoría de Deportes: Natación,2,true,https://cdn.ecommerce.gt/categories/cat0049.jpg,2019-03-07
CAT0050,Ciclismo,Subcategoría de Deportes: Ciclismo,2,true,https://cdn.ecommerce.gt/categories/cat0050.jpg,2021-04-01
CAT0051,Tenis,Subcategoría de Deportes: Tenis,2,true,https://cdn.ecommerce.gt/categories/cat0051.jpg,2019-05-16
CAT0052,Montañismo,Subcategoría de Deportes: Montañismo,2,true,https://cdn.ecommerce.gt/categories/cat0052.jpg,2022-03-07
CAT0053,Yoga,Subcategoría de Deportes: Yoga,2,false,https://cdn.ecommerce.gt/categories/cat0053.jpg,2020-03-11
