orderId,status,total,placedAt,deliveredAt,isPaid,notes
ORD00001,shipped,2708.28,2024-06-27,,false,Producto regalo
ORD00002,delivered,4922.55,2020-05-15,2020-06-09,true,Urgente
ORD00003,processing,3817.27,2025-04-13,,false,Sin factura
ORD00004,pending,4034.67,2020-08-22,,true,
ORD00005,returned,760.46,2023-12-04,,true,Entregar en recepción
ORD00006,shipped,748.25,2025-12-09,,true,Producto regalo
ORD00007,pending,1439.75,2025-07-15,,true,Sin factura
ORD00008,returned,3149.62,2020-05-02,,false,Llamar antes de entregar
ORD00009,cancelled,2054.71,2023-02-15,,false,Llamar antes de entregar
ORD00010,delivered,3622.57,2021-03-25,2021-03-29,true,Llamar antes de entregar
ORD00011,processing,2931.86,2023-08-23,,true,Entregar en recepción
ORD00012,processing,4440.83,2025-04-04,,true,Llamar antes de entregar
ORD00013,returned,3067.16,2024-04-09,,true,Urgente
ORD00014,delivered,373.57,2020-05-22,2020-06-13,true,Entregar en recepción
ORD00015,shipped,421.89,2024-10-16,,true,Urgente
ORD00016,processing,2329.94,2020-07-01,,true,
ORD00017,delivered,1657.44,2021-11-14,2021-12-14,false,Entregar en recepción
ORD00018,processing,4747.15,2023-08-09,,false,
ORD00019,delivered,3860.39,2022-02-04,2022-02-26,true,
ORD00020,shipped,3802.56,2024-06-15,,true,Llamar antes de entregar
ORD00021,cancelled,166.54,2020-12-19,,true,Producto regalo
ORD00022,returned,887.95,2023-08-04,,false,Entregar en recepción
ORD00023,cancelled,3804.96,2024-07-13,,false,
ORD00024,pending,1744.73,2025-07-05,,true,Urgente
ORD00025,processing,395.12,2021-12-02,,false,Sin factura
ORD00026,processing,4402.89,2023-04-07,,true,Sin factura
ORD00027,processing,1293.66,2021-08-04,,true,Sin factura
ORD00028,delivered,442.33,2024-12-19,2025-01-18,true,Producto regalo
ORD00029,processing,3352.75,2024-03-13,,false,
ORD00030,delivered,2503.26,2024-01-31,2024-02-14,true,Sin factura
ORD00031,returned,247.78,2022-06-04,,true,Entregar en recepción
ORD00032,cancelled,1967.9,2022-03-07,,false,Urgente
ORD00033,returned,920.71,2021-04-05,,true,Producto regalo
ORD00034,delivered,127.74,2024-08-25,2024-09-15,false,
ORD00035,delivered,263.75,2025-05-25,2025-06-05,true,
ORD00036,delivered,3083.41,2022-02-02,2022-02-14,true,Urgente
ORD00037,shipped,4369.88,2024-08-02,,true,Sin factura
ORD00038,processing,2268.49,2021-09-28,,true,
ORD00039,returned,1087.44,2022-12-20,,true,Producto regalo
ORD00040,processing,4140.89,2023-03-28,,false,Entregar en recepción
ORD00041,returned,4946.91,2021-12-19,,true,Urgente
ORD00042,cancelled,1307.55,2025-08-23,,true,Producto regalo
ORD00043,cancelled,3647.38,2024-09-02,,true,
ORD00044,returned,4362.05,2022-10-06,,false,Sin factura
ORD00045,shipped,3398.44,2022-05-27,,true,Entregar en recepción
ORD00046,cancelled,3062.47,2025-10-10,,true,
ORD00047,returned,137.02,2024-09-01,,true,
ORD00048,cancelled,2810.92,2025-09-04,,true,
ORD00049,cancelled,1163.31,2022-12-12,,true,Urgente
ORD00050,processing,3890.77,2021-12-25,,false,Llamar antes de entregar
ORD00051,delivered,1302.37,2021-06-04,2021-06-16,true,Producto regalo
ORD00052,processing,3521.65,2025-06-24,,true,Urgente
ORD00053,processing,518.52,2025-06-06,,true,Llamar antes de entregar
ORD00054,processing,260.42,2023-11-27,,true,
ORD00055,processing,4662.4,2024-05-26,,true,Producto regalo
ORD00056,pending,3526.06,2022-11-04,,true,Producto regalo
