reviewId,productId,rating,sentiment,helpfulVotes
REV00001,PRD00557,4,positive,127
REV00002,PRD02905,3,neutral,46
REV00003,PRD01065,5,positive,111
REV00004,PRD01304,4,positive,1
REV00005,PRD02704,1,negative,230
REV00006,PRD02590,4,positive,227
REV00007,PRD02912,4,positive,20
REV00008,PRD02359,4,positive,215
REV00009,PRD01958,5,positive,105
REV00010,PRD00304,4,positive,92
REV00011,PRD00421,4,positive,247
REV00012,PRD02801,4,positive,32
REV00013,PRD02446,2,negative,32
REV00014,PRD00689,5,positive,232
REV00015,PRD01788,5,positive,20
REV00016,PRD00319,4,positive,216
REV00017,PRD01187,5,positive,61
REV00018,PRD02771,4,positive,200
REV00019,PRD01012,5,positive,168
REV00020,PRD00523,4,positive,192
REV00021,PRD00452,5,positive,152
REV00022,PRD00392,2,negative,136
REV00023,PRD02192,5,positive,241
REV00024,PRD01368,3,neutral,51
REV00025,PRD01940,4,positive,106
REV00026,PRD01335,5,positive,165
REV00027,PRD01292,5,positive,64
REV00028,PRD02001,4,positive,142
REV00029,PRD01352,5,positive,139
REV00030,PRD00164,5,positive,55
REV00031,PRD00852,5,positive,97
REV00032,PRD02715,4,positive,177
REV00033,PRD02826,4,positive,125
REV00034,PRD02016,5,positive,78
REV00035,PRD02627,2,negative,236
REV00036,PRD01080,5,positive,108
REV00037,PRD02503,4,positive,214
REV00038,PRD02921,4,positive,209
REV00039,PRD02486,4,positive,250
REV00040,PRD01995,4,positive,79
REV00041,PRD02289,5,positive,149
REV00042,PRD02129,4,positive,14
REV00043,PRD01128,5,positive,188
REV00044,PRD02803,3,neutral,50
REV00045,PRD00865,5,positive,2
REV00046,PRD01785,4,positive,215
REV00047,PRD02084,5,positive,183
REV00048,PRD02155,5,positive,89
REV00049,PRD02971,5,positive,187
REV00050,PRD02380,5,positive,25
REV00051,PRD01877,4,positive,17
REV00052,PRD01539,5,positive,163
REV00053,PRD00395,5,positive,220
REV00054,PRD00837,5,positive,171
REV00055,PRD02131,4,positive,248
REV00056,PRD02152,5,positive,4
REV00057,PRD01356,1,negative,58
REV00058,PRD01072,5,positive,69
REV00059,PRD01668,5,positive,206
REV00060,PRD02306,3,neutral,95
REV00061,PRD02917,4,positive,18
REV00062,PRD02592,5,positive,151
REV00063,PRD00844,4,positive,138
REV00064,PRD02846,4,positive,125
REV00065,PRD00804,4,positive,161
REV00066,PRD01150,4,positive,88
REV00067,PRD02568,5,positive,225
REV00068,PRD02361,4,positive,250
REV00069,PRD00131,5,positive,147
REV00070,PRD00121,5,positive,26
REV00071,PRD00881,5,positive,64
REV00072,PRD02961,3,neutral,19
