userId,productId,addedAt,quantity,savedForLater
USR01431,PRD01730,2023-06-03,1,false
USR01431,PRD00530,2022-03-30,3,false
USR01431,PRD00446,2023-11-10,3,false
USR01431,PRD00940,2023-03-15,1,false
USR00358,PRD00354,2025-03-07,2,false
USR00358,PRD01673,2025-01-29,3,true
USR00358,PRD00808,2022-03-15,1,true
USR00503,PRD02151,2023-04-04,1,false
USR00692,PRD00968,2024-04-17,1,false
USR01130,PRD00890,2025-11-04,2,true
USR01399,PRD00632,2022-10-18,1,false
USR01399,PRD02363,2023-05-19,2,false
USR01399,PRD00639,2025-03-19,1,false
USR01399,PRD01092,2022-01-20,3,true
USR00732,PRD02906,2022-04-03,3,false
USR00732,PRD02672,2022-12-27,2,false
USR00279,PRD01736,2024-12-17,2,false
USR00279,PRD02433,2025-05-14,1,false
USR00279,PRD00665,2024-08-08,3,true
USR00100,PRD02792,2024-07-19,1,false
USR00100,PRD00308,2025-04-07,3,false
USR01112,PRD01548,2022-10-23,1,false
USR01112,PRD01786,2024-08-28,1,false
USR01112,PRD00568,2022-06-14,2,false
USR01357,PRD01954,2024-10-13,2,false
USR01357,PRD00421,2022-05-30,3,true
USR01357,PRD01283,2024-09-10,2,false
USR01357,PRD00078,2024-10-25,3,false
USR00139,PRD01099,2023-04-02,1,false
USR00139,PRD01503,2025-10-26,3,true
USR00142,PRD00790,2024-10-30,1,false
USR00142,PRD01154,2023-02-15,2,false
USR00142,PRD02334,2024-09-10,2,true
USR00142,PRD00021,2024-09-04,2,false
USR01216,PRD01624,2025-06-07,1,false
USR01216,PRD01587,2025-02-19,2,false
USR00946,PRD02435,2022-10-21,1,true
USR01258,PRD01754,2022-04-24,2,false
USR01258,PRD02738,2025-06-08,2,false
USR00974,PRD00202,2022-09-27,1,false
USR00974,PRD02589,2022-10-01,3,false
USR00974,PRD00803,2023-06-21,1,false
USR00974,PRD00588,2022-02-19,2,false
USR00694,PRD00904,2025-06-05,2,false
USR00694,PRD01527,2024-07-20,1,false
USR00694,PRD01590,2022-08-22,3,false
USR00694,PRD01942,2025-04-12,2,false
USR00047,PRD02012,2022-09-22,2,false
USR00047,PRD02467,2025-02-03,2,true
USR01005,PRD02048,2024-08-29,2,false
USR00654,PRD00616,2022-11-29,3,true
USR00654,PRD02872,2024-07-01,1,false
USR00654,PRD01739,2024-10-14,2,true
USR00654,PRD02212,2025-01-12,1,false
USR01127,PRD01393,2024-12-23,1,true
USR00040,PRD01659,2022-11-21,1,false
USR00040,PRD00404,2024-09-08,3,false
USR00040,PRD02041,2024-01-30,3,true
USR01039,PRD02254,2024-03-24,1,false
USR00754,PRD01880,2024-03-26,2,false
USR01239,PRD00453,2024-07-30,3,false
USR01239,PRD00603,2025-07-24,2,true
USR01239,PRD01240,2024-01-02,3,false
USR01239,PRD02329,2022-06-20,3,false
USR01403,PRD00622,2023-10-27,1,false
USR01403,PRD01314,2023-08-07,2,true
USR01218,PRD02734,2022-04-07,2,false
USR01218,PRD01087,2025-08-08,3,true
USR01218,PRD00908,2025-12-10,2,true
USR01218,PRD02119,2025-05-29,2,false
USR00992,PRD00153,2024-07-28,1,false
USR00992,PRD01383,2025-12-19,2,false
USR00992,PRD00503,2023-04-27,2,false
USR00992,PRD02809,2025-04-04,2,false
USR00483,PRD01526,2023-02-10,3,false
USR00483,PRD02308,2024-05-09,1,false
USR00752,PRD01343,2023-11-30,3,false
USR00752,PRD00763,2022-05-31,3,false
USR00752,PRD01634,2023-02-11,3,false
USR01145,PRD02236,2025-11-24,1,true
USR01145,PRD01734,2022-09-23,2,false
USR01145,PRD02668,2025-03-26,1,false
USR01145,PRD01427,2022-04-28,3,false
USR01067,PRD02628,2023-02-14,1,false
USR01067,PRD02763,2023-11-05,3,true
USR01368,PRD02605,2024-03-01,3,true
USR01368,PRD00225,2024-08-14,2,false
USR01368,PRD01186,2023-06-02,1,false
USR01368,PRD00043,2024-05-25,1,true
USR00285,PRD01102,2025-09-18,3,false
USR01444,PRD02030,2025-01-01,1,false
USR01444,PRD01870,2024-12-24,2,false
USR01444,PRD01361,2023-10-31,1,false
USR00569,PRD02109,2022-06-08,3,true
USR01312,PRD01532,2023-12-01,3,true
USR01312,PRD02222,2023-09-07,1,false
USR00604,PRD01192,2023-07-12,3,false
USR00604,PRD00643,2024-10-02,2,false
USR01321,PRD01761,2024-07-16,3,true
USR01321,PRD01981,2022-05-07,3,true
USR01321,PRD02917,2025-08-10,2,true
USR00222,PRD00169,2024-12-27,3,false
USR00222,PRD01784,2022-03-03,3,false
USR00222,PRD01421,2024-03-20,2,false
USR00222,PRD02279,2022-02-10,3,false
USR00891,PRD02802,2022-02-17,1,false
USR00891,PRD00822,2025-05-09,2,true
USR00981,PRD02775,2023-11-21,2,true
USR00981,PRD00300,2025-02-19,1,false
USR00981,PRD01163,2022-08-23,1,false
USR00981,PRD01119,2024-05-15,2,true
USR00272,PRD00919,2023-08-21,3,true
USR00272,PRD02658,2023-05-28,1,true
USR00272,PRD02954,2022-10-15,2,true
USR00272,PRD00410,2025-03-08,1,false
USR01209,PRD01141,2022-06-13,1,false
USR01209,PRD02892,2022-06-15,2,false
USR01209,PRD00563,2024-06-02,3,false
USR01315,PRD00746,2022-01-01,3,false
USR01315,PRD02929,2025-02-22,1,false
USR01315,PRD01191,2025-01-11,1,false
USR01315,PRD01675,2022-08-21,1,false
USR01031,PRD01843,2023-03-31,1,false
USR01410,PRD02313,2022-09-05,3,false
USR00140,PRD02256,2023-05-12,1,false
USR00140,PRD01788,2024-11-11,2,false
USR00140,PRD00873,2024-07-11,2,false
USR00140,PRD00238,2024-03-26,1,false
USR00465,PRD02857,2022-09-01,2,false
USR00465,PRD02125,2024-05-13,1,false
USR00465,PRD01828,2024-08-13,1,false
USR00465,PRD01985,2025-12-20,2,false
USR01268,PRD00043,2025-04-30,2,true
USR01268,PRD02542,2024-08-11,2,true
USR00552,PRD02077,2022-03-29,3,false
USR00552,PRD00244,2025-07-26,2,true
USR00552,PRD02457,2022-07-04,3,false
USR00080,PRD01041,2024-01-03,1,false
USR00080,PRD01282,2023-07-22,2,false
USR00685,PRD01377,2022-11-03,1,true
USR00685,PRD02175,2023-01-07,1,true
USR00685,PRD01157,2023-03-16,3,true
USR00685,PRD00718,2022-02-21,3,false
USR00466,PRD00467,2025-06-18,1,true
USR00466,PRD01670,2022-04-12,3,true
USR00466,PRD00554,2024-03-05,3,false
USR00466,PRD01390,2023-05-08,3,false
USR00722,PRD00539,2022-12-14,2,true
USR00722,PRD02983,2025-01-31,2,false
USR00948,PRD01916,2022-06-16,3,false
USR00948,PRD02928,2023-04-30,2,false
USR00372,PRD02400,2024-01-17,1,false
USR00372,PRD02529,2022-09-09,3,false
USR00372,PRD02845,2023-08-28,3,true
USR00372,PRD02512,2022-08-30,3,false
USR00259,PRD02040,2024-11-18,1,false
USR00259,PRD01622,2024-02-02,3,false
USR00259,PRD00857,2024-07-22,2,true
USR00259,PRD01878,2022-02-10,1,false
USR00662,PRD02130,2022-08-21,3,false
USR00662,PRD01363,2025-05-16,3,false
USR00920,PRD02990,2022-01-28,2,false
USR00920,PRD01408,2024-12-26,3,false
USR00589,PRD02360,2023-05-22,1,false
USR00589,PRD01252,2025-01-11,2,true
USR00296,PRD00747,2022-03-13,2,true
USR00296,PRD02745,2023-08-29,2,false
USR00296,PRD00776,2022-08-12,3,false
USR00296,PRD01626,2023-08-21,2,false
USR00410,PRD02144,2024-11-17,1,true
USR00410,PRD00515,2024-04-17,3,true
USR00410,PRD02128,2025-10-01,1,false
USR00410,PRD02315,2022-03-18,1,false
USR00802,PRD01223,2024-11-27,2,true
USR00802,PRD02667,2022-03-06,1,false
USR00802,PRD02783,2023-10-19,1,false
USR00802,PRD01871,2024-02-25,3,false
USR00911,PRD00528,2024-02-17,3,true
USR00911,PRD01000,2024-01-18,3,true
USR00911,PRD00311,2022-04-19,1,false
USR00748,PRD01318,2022-12-13,1,false
USR01416,PRD02334,2022-11-24,2,false
USR01416,PRD01814,2022-09-05,2,false
USR01038,PRD00877,2022-01-24,2,false
USR01345,PRD01162,2024-11-20,3,false
USR00041,PRD01606,2025-05-03,2,true
USR00041,PRD00032,2025-08-22,2,true
USR00041,PRD00710,2023-05-14,2,false
USR00727,PRD01946,2022-10-05,2,true
USR00727,PRD01334,2024-07-18,3,false
USR00727,PRD01417,2023-12-02,3,false
USR00727,PRD00018,2023-10-31,2,false
USR00656,PRD01265,2024-03-30,3,true
USR00656,PRD01741,2023-09-09,2,false
USR00656,PRD01032,2022-05-04,2,true
USR00656,PRD02613,2025-11-13,2,false
USR00345,PRD02875,2025-02-03,1,false
USR00073,PRD02396,2022-10-31,1,false
USR00073,PRD02778,2022-10-09,2,true
USR00073,PRD02665,2024-04-01,2,false
USR00073,PRD02749,2022-07-25,2,false
USR01329,PRD00045,2023-02-02,2,false
USR01329,PRD02208,2025-08-04,2,false
USR01397,PRD01032,2024-10-16,2,true
USR01397,PRD02641,2024-02-28,1,false
USR01397,PRD02159,2022-03-05,2,false
USR00522,PRD01341,2025-01-19,3,false
USR00522,PRD01085,2023-12-07,2,true
USR00197,PRD01277,2024-04-09,1,false
USR00197,PRD01881,2022-04-03,3,false
USR01192,PRD00540,2025-03-08,1,false
USR01192,PRD02409,2022-03-03,1,true
USR01192,PRD02250,2025-01-03,1,false
USR01192,PRD01477,2024-01-17,3,true
USR00932,PRD02809,2025-10-16,1,true
USR01189,PRD02930,2023-04-19,1,false
USR01021,PRD00678,2024-10-30,2,false
USR01021,PRD02618,2025-10-28,2,false
USR01021,PRD02497,2023-08-28,2,false
USR00649,PRD02688,2022-07-03,2,false
USR00649,PRD01359,2024-12-22,2,false
USR00649,PRD02512,2023-05-10,2,false
USR00649,PRD00217,2025-03-26,2,false
USR00957,PRD00582,2023-06-08,1,false
USR00858,PRD00726,2023-08-12,2,true
USR00858,PRD02411,2022-10-13,1,false
USR00858,PRD00252,2022-06-26,3,false
USR00028,PRD00567,2025-01-10,2,true
USR00028,PRD02994,2025-11-19,1,false
USR00227,PRD00413,2024-01-14,1,false
USR00227,PRD01545,2023-05-16,3,false
USR00227,PRD01555,2024-12-10,2,true
USR00227,PRD02400,2025-02-05,3,true
USR00153,PRD01456,2022-03-27,3,false
USR00153,PRD02542,2023-05-30,2,false
USR00153,PRD00222,2024-08-06,2,false
USR01339,PRD01633,2025-01-15,3,false
USR01339,PRD00764,2022-12-06,3,false
USR00019,PRD00743,2024-02-25,3,false
USR00019,PRD00181,2023-03-29,2,false
USR01030,PRD02640,2024-10-23,3,true
USR01030,PRD00872,2024-01-16,1,false
USR01030,PRD02537,2022-03-02,2,false
USR00750,PRD02445,2023-12-31,2,true
USR00750,PRD00233,2025-04-27,2,false
USR00750,PRD02371,2025-12-21,3,false
USR00308,PRD00035,2023-08-29,2,true
USR00308,PRD02929,2023-03-30,3,false
USR00308,PRD00009,2023-11-16,1,false
USR00308,PRD00284,2025-04-05,1,false
USR01114,PRD02196,2025-06-22,1,false
USR01114,PRD00123,2025-08-10,3,false
USR01114,PRD02634,2025-12-12,1,false
USR00141,PRD02125,2024-04-10,1,false
USR01172,PRD00646,2025-12-28,3,true
USR01172,PRD00946,2025-12-17,1,false
USR01172,PRD00166,2024-07-23,1,false
USR01172,PRD02437,2024-01-01,1,true
USR00587,PRD01630,2025-11-06,1,false
USR00587,PRD01564,2025-03-31,3,false
USR00587,PRD00944,2023-11-11,3,false
USR00789,PRD02311,2022-05-08,3,true
USR00789,PRD00285,2023-09-14,3,false
USR00789,PRD01479,2023-08-31,3,false
USR00789,PRD00342,2022-08-11,3,false
USR01304,PRD01365,2024-06-13,1,false
USR01304,PRD02110,2024-06-27,3,false
USR01304,PRD00885,2023-01-10,1,false
USR01304,PRD01660,2025-06-14,3,true
USR00648,PRD01863,2022-08-03,1,false
USR01232,PRD02574,2024-04-18,2,false
USR01232,PRD01549,2023-01-15,3,false
USR00631,PRD00562,2022-10-09,1,true
USR00012,PRD02529,2023-08-30,1,false
USR00012,PRD02511,2024-02-19,1,false
USR00012,PRD00213,2023-05-29,2,false
USR00012,PRD02131,2024-09-28,3,false
USR00292,PRD02683,2024-11-14,2,false
USR00292,PRD01321,2025-01-15,3,false
USR00292,PRD01458,2025-12-01,3,false
USR00292,PRD00859,2025-11-18,2,false
USR00135,PRD01704,2022-09-25,2,false
USR00778,PRD02586,2024-11-07,3,false
USR00778,PRD02246,2023-02-05,3,true
USR00778,PRD00629,2025-05-01,3,false
USR00778,PRD01588,2022-10-12,1,true
USR00147,PRD01540,2024-02-03,2,false
USR00565,PRD00523,2022-09-23,2,false
USR01281,PRD02576,2025-08-28,3,true
USR01281,PRD01843,2025-03-06,1,false
USR01281,PRD01076,2024-04-05,3,false
USR01281,PRD02203,2024-09-19,1,true
USR00484,PRD01328,2024-03-31,2,false
USR00484,PRD02649,2025-01-19,2,false
USR00966,PRD01985,2023-09-02,1,false
USR00966,PRD01859,2024-06-08,2,false
USR00966,PRD02327,2025-10-09,3,false
