productId,categoryId,assignedAt,isPrimary,rank
PRD00001,CAT0011,2022-07-11,true,1
PRD00001,CAT0129,2021-05-08,false,5
PRD00002,CAT0011,2024-08-12,true,1
PRD00003,CAT0011,2022-09-15,true,1
PRD00004,CAT0011,2019-09-24,true,1
PRD00005,CAT0011,2020-04-06,true,1
PRD00006,CAT0011,2021-09-03,true,1
PRD00007,CAT0011,2019-06-17,true,1
PRD00008,CAT0011,2021-05-24,true,1
PRD00009,CAT0011,2021-11-16,true,1
PRD00010,CAT0011,2021-04-19,true,1
PRD00010,CAT0073,2023-01-22,false,2
PRD00011,CAT0011,2024-11-18,true,1
PRD00011,CAT0018,2020-05-17,false,2
PRD00012,CAT0011,2023-09-02,true,1
PRD00013,CAT0011,2023-06-30,true,1
PRD00014,CAT0011,2020-01-18,true,1
PRD00015,CAT0011,2021-06-03,true,1
PRD00015,CAT0049,2020-12-17,false,5
PRD00016,CAT0011,2024-04-11,true,1
PRD00017,CAT0011,2020-11-20,true,1
PRD00018,CAT0011,2023-04-26,true,1
PRD00019,CAT0011,2021-08-31,true,1
PRD00020,CAT0011,2024-01-05,true,1
PRD00021,CAT0011,2022-10-11,true,1
PRD00022,CAT0011,2019-04-21,true,1
PRD00023,CAT0011,2023-10-30,true,1
PRD00024,CAT0011,2024-10-14,true,1
PRD00024,CAT0097,2025-01-06,false,2
PRD00025,CAT0011,2019-08-24,true,1
PRD00026,CAT0011,2023-12-14,true,1
PRD00027,CAT0011,2023-02-22,true,1
PRD00027,CAT0084,2021-10-26,false,2
PRD00028,CAT0011,2023-04-16,true,1
PRD00029,CAT0011,2024-08-05,true,1
PRD00030,CAT0012,2022-01-17,true,1
PRD00031,CAT0012,2023-01-03,true,1
PRD00032,CAT0012,2021-03-12,true,1
PRD00033,CAT0012,2019-12-15,true,1
PRD00034,CAT0012,2023-11-16,true,1
PRD00035,CAT0012,2022-09-22,true,1
PRD00036,CAT0012,2021-10-03,true,1
PRD00037,CAT0012,2024-03-08,true,1
PRD00038,CAT0012,2020-03-10,true,1
PRD00039,CAT0012,2023-08-08,true,1
PRD00040,CAT0012,2024-10-06,true,1
PRD00041,CAT0012,2019-01-30,true,1
PRD00042,CAT0012,2023-03-20,true,1
PRD00043,CAT0012,2021-09-03,true,1
PRD00043,CAT0021,2025-03-16,false,2
PRD00044,CAT0012,2021-06-11,true,1
PRD00044,CAT0031,2025-03-16,false,5
PRD00045,CAT0012,2020-06-10,true,1
PRD00045,CAT0045,2023-09-01,false,4
PRD00046,CAT0012,2024-12-15,true,1
PRD00047,CAT0012,2019-12-14,true,1
PRD00048,CAT0012,2020-04-21,true,1
PRD00048,CAT0113,2025-03-12,false,5
PRD00049,CAT0012,2020-02-08,true,1
PRD00050,CAT0012,2020-01-26,true,1
PRD00051,CAT0012,2024-01-17,true,1
PRD00052,CAT0012,2021-12-25,true,1
PRD00053,CAT0012,2021-12-14,true,1
PRD00054,CAT0012,2023-11-16,true,1
PRD00055,CAT0012,2019-03-21,true,1
PRD00055,CAT0036,2023-11-14,false,5
PRD00056,CAT0012,2023-08-12,true,1
PRD00057,CAT0013,2020-01-14,true,1
PRD00057,CAT0066,2023-05-06,false,4
PRD00058,CAT0013,2022-05-19,true,1
PRD00059,CAT0013,2023-12-10,true,1
PRD00060,CAT0013,2022-12-16,true,1
PRD00060,CAT0101,2020-09-18,false,4
PRD00061,CAT0013,2019-03-15,true,1
