orderId,productId,quantity,unitPrice,discount
ORD00001,PRD00865,4,601.85,0.11
ORD00001,PRD00227,5,2053.53,0.28
ORD00002,PRD01627,3,2301.46,0.04
ORD00002,PRD00285,2,358.69,0.0
ORD00002,PRD00991,2,2377.41,0.27
ORD00002,PRD01458,4,207.25,0.19
ORD00003,PRD02699,4,1179.96,0.14
ORD00004,PRD00139,1,2119.81,0.24
ORD00005,PRD00188,1,238.37,0.14
ORD00005,PRD02258,5,2160.04,0.08
ORD00005,PRD01411,5,1403.47,0.21
ORD00005,PRD02973,5,1081.29,0.07
ORD00005,PRD01403,1,2380.34,0.03
ORD00006,PRD02343,3,975.74,0.01
ORD00006,PRD01773,2,1553.38,0.2
ORD00006,PRD02256,4,1038.46,0.24
ORD00006,PRD01008,1,1001.59,0.22
ORD00006,PRD01485,4,1488.27,0.01
ORD00007,PRD01624,2,21.25,0.26
ORD00007,PRD01259,1,1304.57,0.01
ORD00007,PRD00854,5,1121.63,0.18
ORD00008,PRD02358,1,884.49,0.1
ORD00009,PRD02044,1,1210.84,0.23
ORD00009,PRD01336,4,2362.13,0.21
ORD00010,PRD00698,2,1747.42,0.26
ORD00010,PRD00625,2,1136.34,0.1
ORD00010,PRD02472,3,2166.58,0.07
ORD00010,PRD02199,4,842.61,0.1
ORD00011,PRD00383,2,841.38,0.09
ORD00011,PRD00530,3,88.0,0.16
ORD00012,PRD00631,3,45.63,0.03
ORD00012,PRD00250,3,663.17,0.09
ORD00012,PRD02342,4,70.83,0.21
ORD00013,PRD00182,2,2010.25,0.09
ORD00013,PRD01097,4,1955.56,0.19
ORD00014,PRD01919,2,430.48,0.27
ORD00014,PRD00765,5,1508.84,0.28
ORD00014,PRD01835,1,1240.23,0.03
ORD00014,PRD00788,5,393.92,0.01
ORD00014,PRD00358,2,822.71,0.2
ORD00015,PRD02223,4,1124.82,0.08
ORD00015,PRD00148,5,1661.65,0.27
ORD00016,PRD00705,2,643.96,0.3
ORD00016,PRD02491,4,11.77,0.1
ORD00016,PRD00185,1,1220.75,0.28
ORD00016,PRD00954,3,625.6,0.26
ORD00017,PRD02624,4,1243.85,0.11
ORD00017,PRD01866,1,225.2,0.14
ORD00017,PRD00971,2,703.45,0.24
ORD00017,PRD00778,4,557.12,0.2
ORD00018,PRD02929,3,300.67,0.29
ORD00018,PRD02875,5,2448.18,0.29
ORD00018,PRD01986,2,2003.01,0.05
ORD00018,PRD02983,4,1730.57,0.01
ORD00018,PRD01712,4,2013.12,0.23
ORD00019,PRD01432,1,1353.18,0.27
ORD00020,PRD00390,5,2142.79,0.04
ORD00021,PRD02949,3,157.81,0.15
