userId,sellerId,followedAt,notifications,tier
USR00361,SEL0009,2024-02-20,true,platinum
USR00361,SEL0014,2025-09-05,true,bronze
USR00404,SEL0069,2021-05-29,false,silver
USR00261,SEL0064,2025-03-11,true,bronze
USR00261,SEL0060,2022-02-14,false,bronze
USR00261,SEL0090,2022-01-26,true,silver
USR00261,SEL0075,2021-02-27,true,bronze
USR01177,SEL0052,2021-02-16,true,gold
USR01177,SEL0092,2020-09-01,false,silver
USR01177,SEL0094,2024-11-13,false,gold
USR00770,SEL0057,2025-07-02,false,silver
USR00770,SEL0010,2023-11-25,true,silver
USR00224,SEL0059,2021-10-15,true,platinum
USR00224,SEL0007,2020-11-19,true,silver
USR00224,SEL0013,2021-03-09,true,silver
USR00291,SEL0037,2025-08-18,true,silver
USR00291,SEL0094,2024-08-05,true,bronze
USR00291,SEL0088,2021-02-08,false,gold
USR00662,SEL0045,2025-09-19,true,gold
USR00662,SEL0022,2025-07-10,false,gold
USR00171,SEL0026,2025-05-24,false,gold
USR00171,SEL0006,2024-11-26,true,gold
USR00171,SEL0054,2022-10-18,false,gold
USR00171,SEL0040,2023-07-04,false,gold
USR00089,SEL0039,2024-10-27,true,platinum
USR00509,SEL0068,2023-11-12,true,silver
USR00509,SEL0093,2023-01-14,false,bronze
USR00509,SEL0024,2023-11-01,false,platinum
USR00150,SEL0013,2022-05-14,false,bronze
USR00835,SEL0034,2020-08-25,true,gold
USR00835,SEL0073,2024-12-27,false,bronze
USR00835,SEL0056,2023-10-10,true,gold
USR00938,SEL0088,2023-06-23,true,bronze
USR00938,SEL0034,2023-08-09,true,platinum
USR00938,SEL0030,2020-10-22,true,gold
USR00054,SEL0068,2022-06-16,false,gold
USR00054,SEL0033,2021-06-26,true,bronze
USR01111,SEL0036,2022-12-10,false,bronze
USR01111,SEL0088,2024-08-31,true,platinum
USR01111,SEL0030,2022-06-22,true,silver
USR01111,SEL0052,2023-11-02,false,gold
USR01488,SEL0044,2022-03-27,true,silver
USR01488,SEL0098,2023-06-05,true,bronze
USR00250,SEL0016,2025-07-13,true,gold
USR01072,SEL0019,2021-09-05,false,platinum
USR01072,SEL0010,2025-11-28,true,platinum
USR01072,SEL0062,2023-07-27,false,gold
USR01072,SEL0017,2021-11-10,true,bronze
USR01227,SEL0097,2022-02-12,false,platinum
USR01227,SEL0045,2024-08-14,false,silver
USR00108,SEL0050,2022-05-14,false,bronze
USR00976,SEL0007,2021-04-11,true,platinum
USR00976,SEL0065,2023-02-19,true,bronze
USR00976,SEL0091,2023-06-18,false,platinum
USR01334,SEL0047,2024-09-07,true,bronze
USR01334,SEL0028,2023-11-23,true,bronze
USR01334,SEL0030,2021-07-04,true,platinum
USR01152,SEL0022,2020-07-21,false,silver
USR01152,SEL0037,2020-06-28,false,gold
USR01152,SEL0073,2025-02-13,false,gold
USR00946,SEL0062,2022-07-19,true,bronze
USR00946,SEL0058,2021-01-03,true,gold
USR00946,SEL0011,2025-11-13,true,bronze
USR00946,SEL0077,2025-09-18,false,platinum
USR00940,SEL0070,2024-05-18,true,gold
USR00213,SEL0012,2022-02-13,false,silver
USR00213,SEL0013,2024-04-12,false,platinum
USR01192,SEL0042,2020-07-26,true,silver
USR01300,SEL0009,2020-03-02,true,silver
USR01106,SEL0079,2023-02-25,false,silver
USR01106,SEL0026,2025-11-26,false,platinum
USR00643,SEL0033,2021-08-08,false,gold
USR01107,SEL0007,2024-03-26,false,platinum
USR01107,SEL0008,2025-12-05,false,bronze
USR01107,SEL0014,2020-09-26,true,platinum
USR01107,SEL0031,2025-03-27,false,gold
USR01101,SEL0021,2022-10-22,false,platinum
USR00875,SEL0099,2025-11-30,false,silver
USR00875,SEL0069,2025-03-04,false,platinum
USR01343,SEL0099,2021-06-26,true,bronze
USR01343,SEL0044,2025-12-06,true,silver
USR00865,SEL0085,2021-04-03,false,silver
USR00155,SEL0036,2021-09-18,true,bronze
USR00155,SEL0073,2023-01-15,false,bronze
USR00767,SEL0087,2025-10-01,false,platinum
USR00767,SEL0022,2020-01-07,false,silver
USR00525,SEL0037,2021-11-03,false,bronze
USR00741,SEL0038,2022-12-30,false,platinum
USR00741,SEL0031,2024-09-26,true,gold
USR00741,SEL0095,2023-06-25,false,silver
USR00741,SEL0053,2025-08-07,false,gold
USR00726,SEL0089,2025-11-08,true,silver
USR00726,SEL0040,2022-01-13,true,gold
USR00077,SEL0023,2020-09-09,false,bronze
USR00077,SEL0063,2025-12-17,true,bronze
USR00641,SEL0093,2022-01-17,false,bronze
USR00641,SEL0035,2022-05-17,false,platinum
USR00641,SEL0077,2021-11-28,false,gold
USR01279,SEL0063,2025-08-10,false,gold
USR01279,SEL0023,2020-04-03,true,gold
USR01279,SEL0071,2021-02-02,true,platinum
USR00666,SEL0080,2022-04-14,true,bronze
USR00666,SEL0006,2025-05-21,true,bronze
USR00642,SEL0057,2025-09-11,false,bronze
USR00642,SEL0086,2022-02-24,true,silver
USR00056,SEL0052,2025-08-02,true,gold
USR00185,SEL0098,2023-12-02,true,bronze
USR00185,SEL0095,2023-04-28,false,platinum
USR00929,SEL0016,2025-11-22,false,gold
USR00929,SEL0021,2020-05-19,true,gold
USR00929,SEL0071,2020-12-02,true,silver
USR00885,SEL0051,2025-10-17,true,gold
USR00885,SEL0069,2023-02-02,true,gold
USR00649,SEL0003,2024-06-08,false,gold
USR00649,SEL0100,2022-01-01,true,gold
USR00649,SEL0081,2025-09-24,true,silver
USR00649,SEL0026,2023-07-19,false,platinum
USR01011,SEL0037,2022-11-30,true,bronze
USR01011,SEL0010,2025-09-23,true,gold
USR01011,SEL0094,2024-11-08,false,platinum
USR01044,SEL0052,2024-09-12,false,bronze
USR01044,SEL0030,2024-08-05,false,platinum
USR01044,SEL0097,2021-07-25,false,silver
USR01044,SEL0073,2022-06-16,true,platinum
USR01412,SEL0100,2023-01-17,true,platinum
USR01412,SEL0042,2023-12-03,false,platinum
USR00596,SEL0058,2024-07-17,true,silver
USR00596,SEL0017,2024-01-01,false,silver
USR01297,SEL0076,2025-09-20,true,platinum
USR01237,SEL0067,2023-10-19,false,gold
USR01237,SEL0088,2024-02-07,true,silver
USR01237,SEL0021,2022-04-01,true,platinum
USR01237,SEL0032,2024-09-14,true,gold
USR00793,SEL0099,2023-04-05,false,silver
USR01378,SEL0005,2023-05-19,true,gold
USR01208,SEL0030,2021-10-19,false,silver
USR01208,SEL0090,2024-10-21,true,silver
USR01208,SEL0021,2025-10-17,false,silver
USR01208,SEL0071,2023-08-14,false,silver
USR01188,SEL0078,2023-05-08,false,bronze
USR01188,SEL0025,2023-07-16,true,platinum
USR01188,SEL0054,2023-01-30,true,gold
USR00920,SEL0060,2023-06-05,true,bronze
USR00920,SEL0070,2020-11-05,false,platinum
USR00920,SEL0071,2024-06-28,true,gold
USR00920,SEL0085,2022-04-22,false,gold
USR01200,SEL0094,2023-05-28,true,platinum
USR01299,SEL0079,2022-05-30,false,platinum
USR01299,SEL0057,2024-11-09,false,bronze
USR00450,SEL0096,2025-05-11,true,gold
USR00450,SEL0011,2025-07-30,true,platinum
USR00787,SEL0034,2025-08-27,false,silver
USR00787,SEL0029,2022-03-21,false,bronze
USR01047,SEL0008,2024-10-29,true,bronze
USR01047,SEL0089,2021-10-09,true,bronze
USR01047,SEL0063,2024-11-28,false,platinum
USR01007,SEL0056,2023-02-07,false,platinum
USR01007,SEL0086,2022-02-13,false,bronze
USR01007,SEL0097,2024-05-17,true,gold
USR00344,SEL0094,2024-08-15,true,platinum
USR00344,SEL0084,2022-11-19,true,gold
USR00344,SEL0015,2023-12-03,true,platinum
USR00344,SEL0046,2020-04-13,false,bronze
USR01043,SEL0080,2021-03-17,false,gold
USR01043,SEL0021,2023-08-30,true,platinum
USR01043,SEL0015,2023-04-08,false,platinum
USR01043,SEL0089,2025-05-21,true,platinum
USR00942,SEL0031,2020-12-31,true,platinum
USR01088,SEL0007,2021-05-03,true,platinum
USR01306,SEL0049,2021-09-25,false,silver
USR01306,SEL0060,2023-11-20,true,silver
USR01306,SEL0038,2025-05-27,true,silver
USR01032,SEL0066,2023-07-14,true,platinum
USR00939,SEL0035,2024-08-23,false,platinum
USR00939,SEL0040,2020-11-30,true,silver
USR00551,SEL0052,2023-12-10,true,silver
USR00784,SEL0026,2020-07-17,false,platinum
USR00784,SEL0065,2023-09-12,false,bronze
USR00784,SEL0032,2025-10-27,false,bronze
USR00784,SEL0027,2020-06-28,false,silver
USR00604,SEL0030,2021-05-26,true,bronze
USR00604,SEL0002,2023-04-14,false,bronze
USR00507,SEL0017,2023-02-14,true,bronze
USR00507,SEL0043,2024-06-14,true,gold
USR01362,SEL0012,2021-10-02,true,platinum
USR01362,SEL0028,2022-02-23,true,bronze
USR01362,SEL0059,2023-01-15,true,platinum
USR01362,SEL0097,2023-11-06,false,gold
USR00043,SEL0014,2024-07-09,false,silver
USR00043,SEL0018,2021-12-17,false,bronze
USR00043,SEL0090,2023-08-25,false,gold
USR00043,SEL0015,2020-09-15,true,bronze
USR01018,SEL0030,2022-10-01,true,gold
USR01018,SEL0073,2021-09-17,false,bronze
USR00163,SEL0016,2023-11-05,false,bronze
USR01469,SEL0045,2020-08-02,true,platinum
USR01469,SEL0016,2024-01-21,false,platinum
USR01163,SEL0013,2025-01-03,true,gold
USR01163,SEL0079,2021-12-11,false,silver
USR01163,SEL0048,2025-04-07,true,bronze
USR00538,SEL0007,2023-08-02,false,bronze
USR00014,SEL0096,2023-03-22,true,silver
USR00014,SEL0065,2020-01-07,false,platinum
USR00683,SEL0026,2024-10-08,true,platinum
USR00683,SEL0013,2025-05-12,true,silver
USR00683,SEL0010,2023-10-04,true,platinum
