userId,orderId,placedAt,channel,promoCode
USR00337,ORD00001,2024-06-27,desktop,
USR00803,ORD00002,2020-05-15,desktop,
USR01030,ORD00003,2025-04-13,mobile,CYBER20
USR00131,ORD00004,2020-08-22,web,CYBER20
USR01189,ORD00005,2023-12-04,tablet,PROMO2024
USR00337,ORD00006,2025-12-09,tablet,
USR00553,ORD00007,2025-07-15,app,DESCUENTO10
USR00496,ORD00008,2020-05-02,desktop,
USR00513,ORD00009,2023-02-15,app,
USR00812,ORD00010,2021-03-25,tablet,BIENVENIDO
USR00957,ORD00011,2023-08-23,web,BIENVENIDO
USR00248,ORD00012,2025-04-04,mobile,BLACK50
USR00790,ORD00013,2024-04-09,web,
USR00779,ORD00014,2020-05-22,mobile,
USR00602,ORD00015,2024-10-16,desktop,CYBER20
USR01003,ORD00016,2020-07-01,web,
USR00068,ORD00017,2021-11-14,mobile,
USR00487,ORD00018,2023-08-09,app,BLACK50
USR00550,ORD00019,2022-02-04,web,BIENVENIDO
USR01101,ORD00020,2024-06-15,tablet,VERANO25
USR01215,ORD00021,2020-12-19,desktop,DESCUENTO10
USR00482,ORD00022,2023-08-04,web,CYBER20
USR00146,ORD00023,2024-07-13,tablet,
USR00369,ORD00024,2025-07-05,desktop,BIENVENIDO
USR01192,ORD00025,2021-12-02,web,
USR00268,ORD00026,2023-04-07,mobile,CYBER20
USR01119,ORD00027,2021-08-04,desktop,PROMO2024
USR00800,ORD00028,2024-12-19,mobile,DESCUENTO10
USR00328,ORD00029,2024-03-13,web,DESCUENTO10
USR00029,ORD00030,2024-01-31,web,
USR00579,ORD00031,2022-06-04,app,BLACK50
USR00447,ORD00032,2022-03-07,tablet,
USR01181,ORD00033,2021-04-05,app,DESCUENTO10
USR01061,ORD00034,2024-08-25,mobile,
USR00489,ORD00035,2025-05-25,web,PROMO2024
USR00028,ORD00036,2022-02-02,web,
USR00964,ORD00037,2024-08-02,mobile,
USR00455,ORD00038,2021-09-28,tablet,DESCUENTO10
USR00229,ORD00039,2022-12-20,desktop,BIENVENIDO
USR01022,ORD00040,2023-03-28,app,
USR00835,ORD00041,2021-12-19,web,DESCUENTO10
USR00672,ORD00042,2025-08-23,web,BLACK50
USR00505,ORD00043,2024-09-02,web,PROMO2024
USR01176,ORD00044,2022-10-06,desktop,PROMO2024
USR00061,ORD00045,2022-05-27,app,
USR00708,ORD00046,2025-10-10,desktop,PROMO2024
USR01027,ORD00047,2024-09-01,desktop,DESCUENTO10
USR01095,ORD00048,2025-09-04,tablet,BLACK50
USR00426,ORD00049,2022-12-12,tablet,VERANO25
USR00551,ORD00050,2021-12-25,mobile,CYBER20
USR01234,ORD00051,2021-06-04,web,PROMO2024
USR01413,ORD00052,2025-06-24,desktop,BIENVENIDO
USR00303,ORD00053,2025-06-06,app,
USR00656,ORD00054,2023-11-27,app,
USR01161,ORD00055,2024-05-26,mobile,VERANO25
USR00175,ORD00056,2022-11-04,mobile,VERANO25
USR01120,ORD00057,2023-10-17,tablet,PROMO2024
USR00461,ORD00058,2023-04-28,mobile,
USR00699,ORD00059,2024-10-11,web,
USR00625,ORD00060,2021-09-02,app,
USR00176,ORD00061,2020-09-26,desktop,PROMO2024
USR00396,ORD00062,2020-01-16,mobile,CYBER20
USR00748,ORD00063,2020-12-23,mobile,BIENVENIDO
USR01424,ORD00064,2024-08-09,tablet,DESCUENTO10
USR00862,ORD00065,2023-10-25,desktop,DESCUENTO10
USR00777,ORD00066,2023-12-25,mobile,BLACK50
USR00377,ORD00067,2024-12-18,web,PROMO2024
USR01453,ORD00068,2023-01-30,app,
USR00481,ORD00069,2023-11-24,app,BLACK50
USR00516,ORD00070,2023-01-06,mobile,BLACK50
USR00881,ORD00071,2021-02-28,desktop,
USR01451,ORD00072,2025-03-31,desktop,
USR00381,ORD00073,2022-01-11,tablet,
USR01052,ORD00074,2021-03-17,web,CYBER20
USR00909,ORD00075,2020-04-25,mobile,BLACK50
USR01356,ORD00076,2023-08-31,desktop,PROMO2024
USR01037,ORD00077,2022-08-26,tablet,
USR00050,ORD00078,2021-11-20,tablet,
USR00651,ORD00079,2023-08-14,mobile,
USR00135,ORD00080,2022-04-06,app,VERANO25
USR00401,ORD00081,2020-09-21,web,BIENVENIDO
USR00735,ORD00082,2025-01-01,desktop,PROMO2024
USR01298,ORD00083,2022-05-14,tablet,PROMO2024
USR00993,ORD00084,2023-08-18,tablet,DESCUENTO10
USR00816,ORD00085,2021-07-30,mobile,
USR01409,ORD00086,2022-11-09,web,CYBER20
USR01381,ORD00087,2023-05-28,app,BIENVENIDO
USR00361,ORD00088,2021-02-13,web,CYBER20
USR00660,ORD00089,2022-03-11,tablet,BLACK50
USR00445,ORD00090,2023-10-19,tablet,
USR01418,ORD00091,2021-03-30,web,CYBER20
USR00880,ORD00092,2020-11-30,tablet,VERANO25
USR00928,ORD00093,2023-01-21,web,DESCUENTO10
USR00261,ORD00094,2022-08-28,desktop,
USR00768,ORD00095,2025-06-04,mobile,
USR00929,ORD00096,2020-11-15,web,PROMO2024
USR01408,ORD00097,2023-05-24,mobile,DESCUENTO10
USR00873,ORD00098,2025-01-21,mobile,BLACK50
USR01136,ORD00099,2020-08-03,tablet,VERANO25
USR00217,ORD00100,2022-03-11,desktop,PROMO2024
USR01413,ORD00101,2025-01-26,mobile,
USR00030,ORD00102,2022-11-22,desktop,VERANO25
USR00506,ORD00103,2021-08-12,tablet,VERANO25
USR00534,ORD00104,2023-10-03,tablet,
USR01446,ORD00105,2024-11-14,mobile,CYBER20
USR01235,ORD00106,2023-01-18,tablet,
USR00577,ORD00107,2024-03-30,web,PROMO2024
USR00529,ORD00108,2020-08-23,mobile,BLACK50
USR00837,ORD00109,2020-09-10,web,
USR00660,ORD00110,2022-06-12,web,BIENVENIDO
USR00238,ORD00111,2025-11-11,app,
USR00443,ORD00112,2024-10-17,tablet,DESCUENTO10
USR01098,ORD00113,2023-06-18,mobile,
USR00949,ORD00114,2024-02-03,app,PROMO2024
USR00742,ORD00115,2024-08-03,web,VERANO25
USR01460,ORD00116,2021-08-29,web,BLACK50
USR00834,ORD00117,2022-07-17,desktop,
USR00158,ORD00118,2021-12-24,tablet,
USR01305,ORD00119,2024-11-25,app,PROMO2024
USR01241,ORD00120,2023-09-25,web,
USR01164,ORD00121,2020-07-14,app,CYBER20
USR00540,ORD00122,2025-08-20,web,BLACK50
USR00309,ORD00123,2020-09-07,tablet,
