userId,productId,purchasedAt,quantity,unitPrice
USR00337,PRD00865,2023-11-26,4,601.85
USR00337,PRD00227,2020-09-03,5,2053.53
USR00803,PRD01627,2023-01-02,3,2301.46
USR00803,PRD00285,2025-04-07,2,358.69
USR00803,PRD00991,2021-08-31,2,2377.41
USR00803,PRD01458,2021-03-17,4,207.25
USR01030,PRD02699,2023-11-04,4,1179.96
USR00131,PRD00139,2023-11-09,1,2119.81
USR01189,PRD00188,2024-03-20,1,238.37
USR01189,PRD02258,2022-08-28,5,2160.04
USR01189,PRD01411,2021-07-30,5,1403.47
USR01189,PRD02973,2023-10-14,5,1081.29
USR01189,PRD01403,2021-08-28,1,2380.34
USR00337,PRD02343,2024-03-11,3,975.74
USR00337,PRD01773,2025-09-18,2,1553.38
USR00337,PRD02256,2025-08-13,4,1038.46
USR00337,PRD01008,2025-10-06,1,1001.59
USR00337,PRD01485,2024-02-06,4,1488.27
USR00553,PRD01624,2025-09-21,2,21.25
USR00553,PRD01259,2021-06-16,1,1304.57
USR00553,PRD00854,2020-09-19,5,1121.63
USR00496,PRD02358,2021-08-05,1,884.49
USR00513,PRD02044,2023-03-28,1,1210.84
USR00513,PRD01336,2020-08-31,4,2362.13
USR00812,PRD00698,2021-08-09,2,1747.42
USR00812,PRD00625,2022-05-21,2,1136.34
USR00812,PRD02472,2025-08-14,3,2166.58
USR00812,PRD02199,2021-04-14,4,842.61
USR00957,PRD00383,2022-10-21,2,841.38
USR00957,PRD00530,2020-03-31,3,88.0
USR00248,PRD00631,2022-10-21,3,45.63
USR00248,PRD00250,2020-07-12,3,663.17
USR00248,PRD02342,2025-03-21,4,70.83
USR00790,PRD00182,2022-08-19,2,2010.25
USR00790,PRD01097,2020-12-19,4,1955.56
USR00779,PRD01919,2022-07-20,2,430.48
USR00779,PRD00765,2022-04-07,5,1508.84
USR00779,PRD01835,2021-03-17,1,1240.23
USR00779,PRD00788,2021-09-23,5,393.92
USR00779,PRD00358,2023-10-05,2,822.71
USR00602,PRD02223,2024-08-23,4,1124.82
USR00602,PRD00148,2020-01-15,5,1661.65
USR01003,PRD00705,2024-04-24,2,643.96
USR01003,PRD02491,2022-09-11,4,11.77
USR01003,PRD00185,2022-11-07,1,1220.75
USR01003,PRD00954,2025-08-19,3,625.6
USR00068,PRD02624,2022-08-27,4,1243.85
USR00068,PRD01866,2024-08-29,1,225.2
USR00068,PRD00971,2023-10-26,2,703.45
USR00068,PRD00778,2023-04-12,4,557.12
USR00487,PRD02929,2024-03-07,3,300.67
USR00487,PRD02875,2023-11-30,5,2448.18
USR00487,PRD01986,2025-04-10,2,2003.01
USR00487,PRD02983,2020-01-09,4,1730.57
USR00487,PRD01712,2020-11-24,4,2013.12
USR00550,PRD01432,2025-03-05,1,1353.18
USR01101,PRD00390,2021-11-10,5,2142.79
USR01215,PRD02949,2025-04-16,3,157.81
USR00482,PRD01624,2025-09-18,5,21.25
USR00482,PRD02919,2023-12-17,3,2123.44
USR00146,PRD00198,2022-05-17,3,1592.4
USR00146,PRD02613,2025-12-06,3,1432.57
USR00146,PRD00608,2025-03-21,2,1478.87
USR00146,PRD01146,2022-12-08,4,140.08
USR00369,PRD02325,2023-10-15,3,828.1
USR00369,PRD02785,2025-07-31,2,2484.57
USR00369,PRD00968,2022-05-19,5,1040.31
USR00369,PRD01170,2024-10-31,2,1198.38
USR01192,PRD00033,2022-12-28,4,263.56
