productId,userId,score,algorithm,generatedAt
PRD02366,USR00200,0.7014,node-similarity,2024-01-26
PRD01940,USR01110,0.7154,collaborative,2024-02-21
PRD00848,USR00601,0.7292,node-similarity,2025-02-22
PRD01633,USR01373,0.6895,hybrid,2023-03-15
PRD01785,USR00835,0.7293,node-similarity,2024-04-14
PRD00309,USR01479,0.7362,content-based,2024-11-15
PRD01101,USR00631,0.8862,node-similarity,2023-06-01
PRD02527,USR01442,0.9934,pagerank,2024-11-19
PRD01526,USR00696,0.8916,hybrid,2025-02-21
PRD01228,USR00603,0.8881,pagerank,2024-02-21
PRD00955,USR00366,0.7553,pagerank,2023-11-11
PRD00702,USR01482,0.6116,hybrid,2024-10-10
PRD02981,USR00310,0.559,content-based,2025-02-08
PRD02779,USR00491,0.7439,hybrid,2025-06-17
PRD02538,USR00397,0.8876,collaborative,2023-06-03
PRD00803,USR00457,0.9444,hybrid,2023-12-21
PRD01229,USR00299,0.6436,hybrid,2024-03-09
PRD00437,USR00113,0.9265,hybrid,2025-05-13
PRD02957,USR00050,0.5202,collaborative,2023-09-02
PRD00717,USR00957,0.9617,collaborative,2023-05-21
PRD02228,USR00801,0.6948,pagerank,2025-09-06
PRD02919,USR00312,0.9251,pagerank,2025-04-28
PRD02213,USR00644,0.663,collaborative,2023-03-31
PRD00920,USR01066,0.5811,hybrid,2025-12-26
PRD02293,USR00896,0.5695,pagerank,2024-01-29
PRD02355,USR00598,0.6455,pagerank,2025-09-18
PRD00305,USR00842,0.7526,node-similarity,2024-02-01
PRD00503,USR00028,0.7048,pagerank,2025-08-05
PRD02887,USR01125,0.916,hybrid,2023-11-24
PRD02819,USR00983,0.6462,content-based,2025-10-08
PRD00159,USR01142,0.7089,content-based,2024-12-25
PRD02135,USR01052,0.8729,node-similarity,2025-12-15
PRD01777,USR00481,0.561,hybrid,2025-03-05
PRD01867,USR01272,0.9497,hybrid,2025-06-01
PRD02647,USR01298,0.6952,content-based,2025-10-26
PRD02685,USR00332,0.8439,node-similarity,2024-07-25
PRD00965,USR01180,0.6432,hybrid,2025-04-22
PRD02009,USR01393,0.5167,hybrid,2025-02-28
PRD00230,USR00571,0.7383,hybrid,2023-05-04
PRD01545,USR01218,0.6971,node-similarity,2023-02-28
PRD02626,USR00185,0.542,content-based,2025-12-20
PRD02176,USR00025,0.563,collaborative,2025-12-22
PRD01014,USR00007,0.8232,node-similarity,2024-08-02
PRD02630,USR00924,0.9448,node-similarity,2024-04-13
PRD02094,USR00312,0.6522,content-based,2024-07-03
PRD02457,USR00440,0.7616,pagerank,2023-03-27
PRD01685,USR00519,0.6937,pagerank,2024-10-02
PRD02650,USR00022,0.8174,pagerank,2024-01-15
PRD01837,USR00307,0.8553,hybrid,2025-10-25
PRD00460,USR00489,0.9438,collaborative,2023-06-18
PRD00310,USR00831,0.6648,node-similarity,2024-12-13
PRD00398,USR01310,0.8346,hybrid,2025-11-23
PRD02117,USR01414,0.7466,node-similarity,2024-07-26
PRD00583,USR00701,0.7871,hybrid,2024-11-07
PRD01482,USR00010,0.6664,node-similarity,2025-01-04
PRD00108,USR01183,0.7576,hybrid,2024-08-03
PRD01860,USR01302,0.7499,node-similarity,2024-11-26
PRD00131,USR01096,0.5395,node-similarity,2024-05-25
PRD02224,USR01432,0.6974,pagerank,2025-04-24
PRD01498,USR00606,0.9966,node-similarity,2023-07-22
PRD02166,USR00206,0.7144,pagerank,2023-07-25
PRD02268,USR00362,0.7394,collaborative,2025-01-22
PRD02731,USR01358,0.7191,pagerank,2024-08-02
PRD02267,USR00107,0.9001,collaborative,2023-04-11
PRD02000,USR00437,0.5184,collaborative,2023-07-25
PRD00092,USR00669,0.6502,collaborative,2023-09-29
PRD01135,USR00680,0.8889,hybrid,2025-11-17
PRD00728,USR00290,0.5275,hybrid,2025-04-24
PRD00412,USR00121,0.9272,pagerank,2023-03-25
PRD00435,USR01331,0.6608,hybrid,2023-08-13
PRD01462,USR01440,0.5753,pagerank,2024-03-12
PRD02570,USR00948,0.5964,pagerank,2023-12-24
PRD00104,USR00457,0.5979,pagerank,2024-08-11
PRD01086,USR01197,0.6713,content-based,2024-03-31
PRD02388,USR00016,0.94,node-similarity,2024-06-17
PRD01597,USR01218,0.5063,collaborative,2024-07-13
PRD02545,USR01419,0.6936,pagerank,2024-03-27
PRD02702,USR00908,0.6732,collaborative,2025-04-01
PRD01521,USR01239,0.624,node-similarity,2023-02-18
PRD02723,USR00755,0.5083,pagerank,2023-04-23
PRD01413,USR01023,0.9793,node-similarity,2023-04-24
PRD01449,USR00890,0.8407,node-similarity,2023-08-06
PRD00907,USR00539,0.5871,collaborative,2024-04-26
PRD00839,USR00056,0.9415,pagerank,2023-07-24
PRD01311,USR00612,0.7627,node-similarity,2023-10-07
PRD00626,USR01227,0.8982,content-based,2025-10-27
PRD02741,USR01034,0.5662,hybrid,2025-07-11
PRD02284,USR01365,0.9988,pagerank,2023-06-12
PRD00655,USR00095,0.5493,node-similarity,2023-05-06
PRD01255,USR00319,0.8845,collaborative,2024-11-29
PRD01589,USR00668,0.6467,collaborative,2024-07-10
PRD01423,USR00868,0.6934,node-similarity,2024-10-10
PRD01300,USR00926,0.8057,collaborative,2024-07-17
PRD00207,USR01005,0.773,hybrid,2023-08-09
PRD02347,USR00438,0.955,collaborative,2025-01-18
PRD02593,USR00104,0.7227,collaborative,2023-08-18
PRD01594,USR01042,0.6386,collaborative,2023-03-02
PRD01128,USR00884,0.8305,node-similarity,2023-05-07
PRD02396,USR01294,0.8818,pagerank,2024-04-02
PRD01254,USR00416,0.516,node-similarity,2024-06-28
PRD01153,USR00976,0.866,node-similarity,2024-02-04
PRD02155,USR00095,0.7354,hybrid,2025-04-12
PRD02966,USR00942,0.7201,hybrid,2023-02-11
PRD01632,USR00924,0.7222,pagerank,2024-02-05
PRD02472,USR00799,0.6941,content-based,2023-11-01
PRD01466,USR00564,0.8008,collaborative,2023-08-31
PRD02862,USR00127,0.5656,hybrid,2025-02-09
PRD02581,USR01487,0.5332,collaborative,2023-08-18
PRD00938,USR00656,0.6658,hybrid,2023-12-27
PRD01424,USR01241,0.5003,pagerank,2023-08-23
PRD02852,USR00239,0.5364,pagerank,2025-11-11
PRD02903,USR00015,0.7131,collaborative,2023-08-28
PRD00328,USR01095,0.6308,pagerank,2025-07-25
PRD01746,USR00827,0.5569,node-similarity,2024-07-04
PRD00560,USR01457,0.5819,collaborative,2024-05-09
PRD00555,USR00303,0.9817,collaborative,2023-09-17
PRD00248,USR00824,0.526,node-similarity,2024-03-13
PRD01392,USR00346,0.6269,pagerank,2025-10-15
PRD00770,USR01363,0.914,pagerank,2025-05-23
PRD00891,USR01160,0.5602,hybrid,2025-01-14
PRD02375,USR00047,0.7474,node-similarity,2025-10-04
PRD00349,USR00221,0.61,collaborative,2023-08-12
PRD02754,USR00865,0.5683,node-similarity,2024-08-13
PRD01355,USR01226,0.9761,pagerank,2025-10-02
PRD00060,USR01255,0.9688,pagerank,2025-11-15
