sellerId,productId,listedAt,sellerPrice,isActive
SEL0073,PRD00001,2023-03-29,896.8,true
SEL0092,PRD00002,2023-01-11,319.63,true
SEL0037,PRD00003,2021-01-17,403.43,true
SEL0005,PRD00004,2020-12-18,1502.86,true
SEL0080,PRD00005,2020-06-22,1201.68,true
SEL0007,PRD00006,2023-11-14,778.83,true
SEL0029,PRD00007,2023-10-29,2102.68,true
SEL0001,PRD00008,2021-11-04,2419.58,true
SEL0085,PRD00009,2024-06-06,453.6,true
SEL0038,PRD00010,2023-08-30,1743.62,true
SEL0016,PRD00011,2023-12-28,430.13,true
SEL0089,PRD00012,2023-12-17,2093.84,false
SEL0078,PRD00013,2024-06-02,2231.6,true
SEL0063,PRD00014,2022-04-12,132.03,true
SEL0077,PRD00015,2024-07-27,531.73,true
SEL0014,PRD00016,2021-12-13,1796.48,true
SEL0094,PRD00017,2020-08-21,656.01,false
SEL0007,PRD00018,2020-06-09,857.71,true
SEL0001,PRD00019,2021-09-09,664.22,true
SEL0004,PRD00020,2022-04-12,11.31,true
SEL0049,PRD00021,2020-10-25,2418.09,true
SEL0081,PRD00022,2020-02-22,2141.53,true
SEL0081,PRD00023,2020-12-27,717.89,true
SEL0056,PRD00024,2024-04-19,462.0,true
SEL0079,PRD00025,2022-07-22,554.53,true
SEL0007,PRD00026,2024-03-02,2742.54,true
SEL0049,PRD00027,2021-12-19,236.44,false
SEL0080,PRD00028,2024-01-07,2291.09,false
SEL0057,PRD00029,2024-09-17,115.48,true
SEL0060,PRD00030,2024-08-01,1671.12,true
SEL0035,PRD00031,2023-12-15,1398.43,true
SEL0003,PRD00032,2021-12-14,1638.48,false
SEL0017,PRD00033,2021-10-19,289.77,true
SEL0084,PRD00034,2024-03-10,1358.43,false
SEL0006,PRD00035,2022-07-27,1870.36,true
SEL0051,PRD00036,2023-02-12,1501.98,false
SEL0071,PRD00037,2024-09-16,698.67,true
SEL0074,PRD00038,2021-01-09,2673.0,true
SEL0092,PRD00039,2023-10-08,465.64,true
SEL0089,PRD00040,2020-10-15,1119.57,true
SEL0037,PRD00041,2020-04-02,634.71,true
SEL0052,PRD00042,2024-03-16,1423.63,false
SEL0067,PRD00043,2023-09-06,1424.06,true
SEL0013,PRD00044,2021-10-15,380.82,true
SEL0022,PRD00045,2021-12-02,341.87,true
SEL0067,PRD00046,2020-08-23,732.72,true
SEL0053,PRD00047,2020-01-27,1976.12,true
SEL0091,PRD00048,2022-06-17,1204.66,true
SEL0061,PRD00049,2020-03-13,821.5,false
SEL0039,PRD00050,2023-06-08,1927.16,true
SEL0062,PRD00051,2020-10-25,1299.39,true
SEL0052,PRD00052,2023-02-27,2115.59,true
SEL0032,PRD00053,2021-04-01,159.54,true
SEL0029,PRD00054,2021-01-28,1077.49,true
SEL0003,PRD00055,2023-06-06,138.96,false
SEL0077,PRD00056,2022-07-18,179.1,true
SEL0027,PRD00057,2020-08-29,90.86,true
SEL0099,PRD00058,2020-04-12,1516.04,true
SEL0006,PRD00059,2023-08-09,2359.7,true
SEL0044,PRD00060,2023-06-12,547.7,true
SEL0034,PRD00061,2021-06-07,1842.79,true
SEL0056,PRD00062,2021-12-31,143.25,true
SEL0011,PRD00063,2023-04-10,2345.45,true
SEL0090,PRD00064,2021-05-14,2000.76,true
SEL0005,PRD00065,2021-05-29,2661.94,true
SEL0097,PRD00066,2023-12-20,2794.08,true
SEL0091,PRD00067,2023-12-04,1407.76,true
SEL0097,PRD00068,2023-11-06,196.6,true
SEL0036,PRD00069,2021-10-17,377.04,true
SEL0024,PRD00070,2024-03-25,1520.71,true
SEL0013,PRD00071,2024-07-09,2279.12,true
SEL0075,PRD00072,2021-08-24,306.24,true
SEL0024,PRD00073,2024-09-15,1806.43,true
SEL0080,PRD00074,2023-07-25,1184.57,false
SEL0038,PRD00075,2020-11-14,2476.65,false
SEL0095,PRD00076,2021-03-25,1134.04,true
SEL0079,PRD00077,2024-10-23,341.07,true
SEL0003,PRD00078,2023-03-08,1780.59,true
SEL0057,PRD00079,2022-12-24,2653.89,false
SEL0091,PRD00080,2021-08-06,2105.2,false
SEL0026,PRD00081,2023-01-23,2353.25,true
SEL0065,PRD00082,2023-10-04,1838.26,true
SEL0093,PRD00083,2021-11-19,2086.63,true
SEL0045,PRD00084,2020-07-28,1961.26,true
SEL0065,PRD00085,2023-04-25,1685.98,true
SEL0049,PRD00086,2020-11-22,1060.79,true
SEL0011,PRD00087,2022-06-07,2300.58,false
SEL0048,PRD00088,2024-08-24,696.91,true
SEL0050,PRD00089,2021-04-01,641.69,false
SEL0029,PRD00090,2020-01-01,596.01,true
SEL0087,PRD00091,2024-07-22,1557.06,true
SEL0075,PRD00092,2024-10-12,1716.72,true
SEL0045,PRD00093,2022-03-22,1173.88,true
SEL0059,PRD00094,2023-09-26,2199.89,true
SEL0097,PRD00095,2021-11-05,658.62,true
SEL0012,PRD00096,2021-06-25,158.85,false
SEL0027,PRD00097,2021-11-27,2256.82,true
SEL0089,PRD00098,2022-10-30,1812.86,false
SEL0020,PRD00099,2022-01-24,2219.93,false
SEL0034,PRD00100,2023-12-04,1364.06,false
SEL0016,PRD00101,2024-07-11,1647.08,false
SEL0047,PRD00102,2022-05-02,208.98,true
SEL0060,PRD00103,2022-04-03,1053.79,false
SEL0028,PRD00104,2021-05-13,439.31,true
SEL0066,PRD00105,2022-03-13,1570.49,true
SEL0011,PRD00106,2020-04-24,356.15,false
SEL0059,PRD00107,2023-03-14,1906.86,true
SEL0079,PRD00108,2024-12-18,1541.61,true
SEL0075,PRD00109,2023-08-09,1964.45,true
SEL0030,PRD00110,2021-09-29,792.08,false
SEL0077,PRD00111,2020-12-18,182.04,true
SEL0011,PRD00112,2021-12-06,2301.31,true
SEL0064,PRD00113,2023-05-10,1300.51,false
SEL0058,PRD00114,2023-07-15,1306.83,false
SEL0095,PRD00115,2021-03-17,1231.76,true
SEL0054,PRD00116,2024-02-23,2384.08,true
SEL0007,PRD00117,2022-08-20,2365.28,false
SEL0062,PRD00118,2022-02-23,2666.78,true
SEL0048,PRD00119,2021-03-15,1728.48,true
SEL0005,PRD00120,2021-02-23,435.48,true
SEL0055,PRD00121,2023-10-09,1940.43,true
SEL0040,PRD00122,2023-06-05,783.69,true
SEL0081,PRD00123,2023-10-20,1885.6,true
SEL0049,PRD00124,2021-09-09,95.55,false
SEL0049,PRD00125,2020-01-13,1251.7,true
SEL0058,PRD00126,2022-03-12,2209.69,true
SEL0027,PRD00127,2024-10-10,1348.23,true
SEL0085,PRD00128,2020-12-12,1207.28,true
SEL0069,PRD00129,2024-05-16,593.6,true
SEL0019,PRD00130,2022-10-19,1856.74,true
SEL0012,PRD00131,2022-07-24,2254.51,false
SEL0096,PRD00132,2021-11-20,2798.95,false
SEL0059,PRD00133,2021-04-19,1327.24,true
SEL0049,PRD00134,2023-10-25,1484.38,true
SEL0063,PRD00135,2020-11-21,859.53,false
SEL0097,PRD00136,2020-11-30,1928.68,true
SEL0053,PRD00137,2022-02-03,345.2,false
SEL0010,PRD00138,2021-06-14,1605.69,false
SEL0053,PRD00139,2021-12-23,2275.02,false
SEL0081,PRD00140,2020-08-30,1221.33,true
SEL0021,PRD00141,2020-11-19,185.63,true
SEL0026,PRD00142,2021-06-07,1603.78,true
SEL0044,PRD00143,2024-01-28,1084.38,true
SEL0089,PRD00144,2021-06-21,1215.01,true
SEL0059,PRD00145,2022-05-31,1361.23,true
SEL0055,PRD00146,2020-07-16,1453.19,true
SEL0004,PRD00147,2023-03-30,2127.4,true
SEL0083,PRD00148,2022-09-06,1708.52,true
SEL0072,PRD00149,2021-05-15,1247.99,true
SEL0063,PRD00150,2020-01-26,2338.16,true
SEL0096,PRD00151,2020-08-25,1245.39,false
SEL0062,PRD00152,2020-01-20,818.05,true
SEL0083,PRD00153,2024-09-05,975.29,true
SEL0012,PRD00154,2023-05-12,2332.74,false
SEL0008,PRD00155,2022-03-24,2478.11,true
SEL0040,PRD00156,2023-06-19,2088.87,true
SEL0054,PRD00157,2024-02-27,970.53,true
SEL0006,PRD00158,2024-09-21,436.05,false
SEL0046,PRD00159,2022-12-17,538.38,true
SEL0034,PRD00160,2020-04-22,2632.98,true
SEL0013,PRD00161,2022-03-07,1480.37,false
SEL0082,PRD00162,2023-08-08,1979.64,true
SEL0026,PRD00163,2024-06-25,1379.16,true
SEL0042,PRD00164,2021-08-04,929.56,true
SEL0074,PRD00165,2022-05-08,942.18,true
SEL0038,PRD00166,2024-05-26,1845.79,true
SEL0066,PRD00167,2023-02-24,2396.12,true
SEL0084,PRD00168,2022-09-06,1291.01,false
SEL0047,PRD00169,2022-12-21,2653.43,true
SEL0093,PRD00170,2024-10-05,585.15,true
SEL0098,PRD00171,2023-04-23,1772.38,false
SEL0009,PRD00172,2024-08-20,2178.88,true
SEL0059,PRD00173,2023-03-09,1193.22,true
SEL0086,PRD00174,2021-07-30,2151.97,true
SEL0088,PRD00175,2021-07-04,2345.62,true
SEL0044,PRD00176,2024-10-26,697.12,true
SEL0084,PRD00177,2020-05-07,2401.0,true
SEL0017,PRD00178,2022-03-21,159.38,true
SEL0090,PRD00179,2021-12-23,2123.19,false
SEL0082,PRD00180,2022-11-26,1342.83,true
SEL0048,PRD00181,2024-02-10,2431.0,false
SEL0030,PRD00182,2022-06-08,1916.9,true
SEL0015,PRD00183,2020-10-10,436.86,true
SEL0053,PRD00184,2021-02-04,357.79,false
SEL0030,PRD00185,2024-12-05,1125.92,false
SEL0032,PRD00186,2021-02-07,2003.6,true
SEL0072,PRD00187,2024-09-05,1772.27,true
SEL0051,PRD00188,2023-03-15,260.07,true
SEL0058,PRD00189,2020-03-22,1937.91,true
SEL0015,PRD00190,2021-11-05,603.53,true
SEL0035,PRD00191,2021-02-22,881.9,false
SEL0020,PRD00192,2023-06-02,1465.67,true
SEL0052,PRD00193,2021-01-12,947.35,true
SEL0034,PRD00194,2024-07-26,1908.02,true
SEL0058,PRD00195,2020-06-30,1073.73,true
SEL0003,PRD00196,2024-12-26,1302.94,false
SEL0040,PRD00197,2023-06-17,599.44,true
SEL0029,PRD00198,2023-08-03,1646.07,true
SEL0049,PRD00199,2022-10-29,627.55,false
SEL0099,PRD00200,2020-09-29,621.08,false
SEL0005,PRD00201,2020-10-17,2430.84,true
SEL0052,PRD00202,2021-09-26,1375.53,true
SEL0098,PRD00203,2021-04-22,1044.01,true
SEL0061,PRD00204,2022-03-26,214.4,true
SEL0062,PRD00205,2020-03-01,1841.7,false
SEL0006,PRD00206,2023-01-29,2227.21,false
SEL0040,PRD00207,2021-06-24,923.55,true
SEL0076,PRD00208,2024-04-22,1953.45,true
SEL0084,PRD00209,2022-10-06,299.57,false
SEL0090,PRD00210,2023-10-10,857.76,true
SEL0084,PRD00211,2023-08-10,1204.29,true
SEL0032,PRD00212,2022-03-08,1967.67,true
SEL0003,PRD00213,2024-03-16,359.26,true
SEL0032,PRD00214,2023-11-04,658.87,true
SEL0024,PRD00215,2021-01-23,1470.75,false
SEL0064,PRD00216,2020-11-22,473.04,true
SEL0057,PRD00217,2021-04-13,2194.37,true
SEL0070,PRD00218,2020-06-25,1562.28,true
SEL0026,PRD00219,2021-12-02,783.06,true
SEL0017,PRD00220,2020-03-30,1749.93,true
SEL0094,PRD00221,2022-12-15,355.66,true
SEL0018,PRD00222,2021-08-20,1438.86,true
