fromProductId,toProductId,similarityScore,algorithm,computedAt
PRD00001,PRD00005,0.8391,content-based,2024-11-25
PRD00001,PRD00002,0.6327,content-based,2024-03-07
PRD00001,PRD00019,0.6543,content-based,2025-01-17
PRD00002,PRD00025,0.9142,node-similarity,2023-10-03
PRD00002,PRD00018,0.9755,hybrid,2025-11-14
PRD00003,PRD00005,0.9008,pagerank,2024-09-04
PRD00003,PRD00021,0.9409,content-based,2025-05-09
PRD00003,PRD00017,0.7007,hybrid,2022-06-26
PRD00004,PRD00016,0.658,content-based,2025-04-02
PRD00004,PRD00015,0.6663,pagerank,2024-09-26
PRD00004,PRD00014,0.6241,node-similarity,2023-11-09
PRD00005,PRD00013,0.6333,node-similarity,2023-09-07
PRD00005,PRD00023,0.9539,pagerank,2022-11-09
PRD00005,PRD00026,0.979,node-similarity,2023-04-17
PRD00006,PRD00027,0.7926,collaborative,2024-12-29
PRD00006,PRD00020,0.6545,hybrid,2025-03-28
PRD00006,PRD00014,0.5641,node-similarity,2024-03-08
PRD00007,PRD00029,0.8171,content-based,2025-11-20
PRD00007,PRD00027,0.9812,content-based,2024-05-22
PRD00007,PRD00021,0.7917,hybrid,2024-02-25
PRD00008,PRD00027,0.9027,collaborative,2023-10-25
PRD00008,PRD00004,0.6525,content-based,2023-08-04
PRD00008,PRD00011,0.5748,pagerank,2024-10-29
PRD00009,PRD00007,0.8478,content-based,2025-05-03
PRD00009,PRD00020,0.8672,content-based,2023-10-27
PRD00009,PRD00008,0.5541,hybrid,2025-10-03
PRD00010,PRD00028,0.7074,collaborative,2023-02-27
PRD00010,PRD00027,0.9094,content-based,2023-02-02
PRD00010,PRD00012,0.5635,content-based,2024-09-20
PRD00011,PRD00024,0.9665,hybrid,2025-04-23
PRD00011,PRD00021,0.7386,hybrid,2023-10-25
PRD00012,PRD00024,0.6072,pagerank,2023-06-19
PRD00012,PRD00016,0.6471,collaborative,2025-12-04
PRD00012,PRD00003,0.9338,collaborative,2023-05-22
PRD00013,PRD00022,0.919,hybrid,2023-04-04
PRD00013,PRD00029,0.5975,content-based,2025-05-25
PRD00013,PRD00023,0.9869,hybrid,2024-06-03
PRD00014,PRD00021,0.8171,node-similarity,2024-10-14
PRD00014,PRD00012,0.6391,hybrid,2023-10-09
PRD00015,PRD00005,0.9088,collaborative,2022-03-26
PRD00015,PRD00014,0.7299,content-based,2022-07-03
PRD00015,PRD00006,0.762,collaborative,2023-07-22
PRD00016,PRD00023,0.6821,pagerank,2024-06-08
PRD00016,PRD00028,0.9331,pagerank,2023-07-06
PRD00017,PRD00022,0.8497,pagerank,2024-06-02
PRD00017,PRD00010,0.9027,pagerank,2023-08-13
PRD00017,PRD00026,0.7449,hybrid,2024-02-20
PRD00018,PRD00016,0.7302,pagerank,2025-01-11
PRD00018,PRD00005,0.9127,collaborative,2022-05-04
PRD00018,PRD00025,0.9118,content-based,2023-05-24
PRD00019,PRD00027,0.9593,hybrid,2025-03-08
PRD00019,PRD00023,0.8796,pagerank,2023-02-22
PRD00019,PRD00016,0.7564,collaborative,2023-09-25
PRD00020,PRD00002,0.9765,node-similarity,2025-09-29
PRD00020,PRD00007,0.5767,collaborative,2025-12-20
PRD00020,PRD00024,0.8004,pagerank,2024-07-31
PRD00021,PRD00018,0.6751,hybrid,2025-11-23
PRD00021,PRD00009,0.9162,node-similarity,2022-06-12
PRD00021,PRD00010,0.6494,content-based,2024-10-20
PRD00022,PRD00012,0.684,pagerank,2022-08-28
PRD00022,PRD00025,0.9712,hybrid,2025-07-20
PRD00023,PRD00022,0.9168,pagerank,2022-01-22
PRD00023,PRD00002,0.9344,hybrid,2023-11-27
PRD00023,PRD00009,0.7095,hybrid,2024-11-01
PRD00024,PRD00004,0.8176,pagerank,2022-09-04
PRD00024,PRD00010,0.5769,pagerank,2025-06-02
PRD00025,PRD00029,0.8557,node-similarity,2022-10-03
PRD00025,PRD00015,0.7234,node-similarity,2025-03-22
PRD00025,PRD00016,0.8687,hybrid,2025-08-24
PRD00026,PRD00028,0.7014,content-based,2022-12-19
PRD00026,PRD00023,0.8959,node-similarity,2022-11-12
PRD00026,PRD00022,0.7822,collaborative,2023-04-22
PRD00027,PRD00016,0.9735,content-based,2024-05-03
PRD00027,PRD00003,0.6372,node-similarity,2023-12-09
PRD00028,PRD00027,0.8136,collaborative,2024-02-25
PRD00028,PRD00013,0.927,pagerank,2022-03-28
PRD00028,PRD00009,0.9069,hybrid,2025-05-16
PRD00029,PRD00011,0.9632,hybrid,2025-08-13
PRD00029,PRD00027,0.7862,collaborative,2022-07-27
PRD00029,PRD00018,0.6927,content-based,2023-09-07
PRD00030,PRD00032,0.8108,content-based,2025-07-25
PRD00030,PRD00044,0.9674,collaborative,2024-10-01
PRD00030,PRD00055,0.7327,pagerank,2023-10-15
PRD00031,PRD00056,0.5621,content-based,2022-10-19
PRD00031,PRD00039,0.794,node-similarity,2025-08-24
PRD00031,PRD00041,0.5933,hybrid,2024-06-16
PRD00032,PRD00039,0.949,node-similarity,2022-04-07
PRD00032,PRD00038,0.9666,hybrid,2022-08-25
PRD00032,PRD00033,0.6465,hybrid,2024-12-07
PRD00033,PRD00055,0.6861,hybrid,2024-08-24
PRD00033,PRD00037,0.9247,hybrid,2022-11-03
PRD00033,PRD00047,0.8947,pagerank,2022-01-31
PRD00034,PRD00032,0.7018,node-similarity,2023-07-29
PRD00034,PRD00045,0.7885,pagerank,2024-11-03
PRD00034,PRD00037,0.7388,hybrid,2022-01-08
PRD00035,PRD00050,0.7994,hybrid,2025-07-15
PRD00035,PRD00043,0.9782,collaborative,2024-01-16
PRD00035,PRD00040,0.6614,content-based,2025-12-10
PRD00036,PRD00055,0.6853,collaborative,2022-05-03
PRD00036,PRD00039,0.8379,content-based,2023-11-17
PRD00036,PRD00050,0.7109,pagerank,2022-09-17
PRD00037,PRD00041,0.628,content-based,2024-05-11
PRD00037,PRD00056,0.6319,collaborative,2024-02-08
PRD00037,PRD00042,0.8819,node-similarity,2024-09-15
PRD00038,PRD00047,0.82,content-based,2025-12-08
PRD00038,PRD00052,0.7978,pagerank,2024-07-18
PRD00038,PRD00041,0.7346,content-based,2024-09-06
PRD00039,PRD00035,0.9802,collaborative,2024-02-08
PRD00039,PRD00043,0.7595,node-similarity,2023-05-05
