fromCategoryId,toCategoryId,createdAt,rank,isActive
CAT0011,CAT0001,2022-10-01,8,true
CAT0012,CAT0001,2021-05-26,7,true
CAT0013,CAT0001,2020-12-10,12,true
CAT0014,CAT0001,2019-08-01,12,true
CAT0015,CAT0001,2019-12-21,3,true
CAT0016,CAT0001,2020-09-07,4,false
CAT0017,CAT0001,2021-07-07,8,true
CAT0018,CAT0001,2020-06-14,10,true
CAT0019,CAT0001,2022-01-27,8,true
CAT0020,CAT0001,2020-07-31,9,true
CAT0021,CAT0001,2022-04-11,3,true
CAT0022,CAT0001,2019-08-28,6,true
CAT0023,CAT0002,2021-11-28,11,false
CAT0024,CAT0002,2020-05-01,1,true
CAT0025,CAT0002,2021-05-20,9,true
CAT0026,CAT0002,2019-04-16,9,true
CAT0027,CAT0002,2021-11-07,3,true
CAT0028,CAT0002,2021-08-28,11,false
CAT0029,CAT0002,2019-01-09,10,false
CAT0030,CAT0002,2021-11-19,3,true
CAT0031,CAT0002,2019-03-15,10,true
CAT0032,CAT0002,2020-12-30,3,false
CAT0033,CAT0002,2019-08-24,1,false
CAT0034,CAT0002,2022-12-11,10,true
CAT0035,CAT0003,2019-10-23,4,false
CAT0036,CAT0003,2020-12-08,11,true
CAT0037,CAT0003,2021-10-02,10,true
CAT0038,CAT0003,2020-03-09,1,false
CAT0039,CAT0003,2019-11-18,8,false
CAT0040,CAT0003,2019-09-25,10,false
CAT0041,CAT0003,2019-01-24,3,true
CAT0042,CAT0003,2019-06-27,1,true
CAT0043,CAT0003,2022-10-09,3,true
CAT0044,CAT0003,2021-09-08,10,false
CAT0045,CAT0003,2019-10-06,6,true
CAT0046,CAT0003,2022-03-17,10,false
CAT0047,CAT0004,2021-12-12,4,true
CAT0048,CAT0004,2022-06-08,12,false
CAT0049,CAT0004,2022-09-28,5,true
CAT0050,CAT0004,2019-12-12,7,true
CAT0051,CAT0004,2020-04-20,3,true
CAT0052,CAT0004,2020-09-05,1,false
CAT0053,CAT0004,2019-01-10,11,true
CAT0054,CAT0004,2021-08-27,11,true
CAT0055,CAT0004,2019-01-26,4,true
CAT0056,CAT0004,2021-12-29,2,true
CAT0057,CAT0004,2019-08-05,6,true
CAT0058,CAT0004,2021-02-16,9,true
CAT0059,CAT0005,2019-10-31,5,true
CAT0060,CAT0005,2019-01-28,9,false
CAT0061,CAT0005,2022-02-25,10,true
CAT0062,CAT0005,2022-03-25,3,false
CAT0063,CAT0005,2019-04-13,9,true
CAT0064,CAT0005,2019-08-28,6,true
CAT0065,CAT0005,2020-01-18,3,false
CAT0066,CAT0005,2021-11-10,7,true
CAT0067,CAT0005,2019-04-04,1,false
CAT0068,CAT0005,2022-04-09,10,false
CAT0069,CAT0005,2021-07-24,12,true
CAT0070,CAT0005,2022-03-29,5,true
CAT0071,CAT0006,2019-07-30,8,true
CAT0072,CAT0006,2021-02-03,10,true
CAT0073,CAT0006,2020-04-25,7,true
CAT0074,CAT0006,2021-10-22,12,true
CAT0075,CAT0006,2020-05-23,8,true
CAT0076,CAT0006,2022-11-28,6,false
CAT0077,CAT0006,2022-10-10,11,true
CAT0078,CAT0006,2019-08-05,3,true
CAT0079,CAT0006,2022-05-18,10,true
CAT0080,CAT0006,2021-11-02,5,false
CAT0081,CAT0006,2022-11-13,4,true
CAT0082,CAT0006,2020-04-14,12,true
CAT0083,CAT0007,2022-03-01,11,false
CAT0084,CAT0007,2021-06-23,9,false
CAT0085,CAT0007,2021-05-23,11,true
CAT0086,CAT0007,2019-06-02,6,true
CAT0087,CAT0007,2022-09-07,3,false
CAT0088,CAT0007,2022-03-07,12,true
CAT0089,CAT0007,2022-10-10,10,false
CAT0090,CAT0007,2020-10-25,8,true
CAT0091,CAT0007,2022-04-05,5,true
CAT0092,CAT0007,2022-10-07,11,true
CAT0093,CAT0007,2019-04-16,1,true
CAT0094,CAT0007,2019-06-30,10,true
CAT0095,CAT0008,2022-08-12,12,false
CAT0096,CAT0008,2019-04-07,4,true
CAT0097,CAT0008,2020-01-22,4,true
CAT0098,CAT0008,2020-04-01,6,false
CAT0099,CAT0008,2019-11-01,2,false
CAT0100,CAT0008,2021-08-20,3,true
CAT0101,CAT0008,2020-06-28,1,true
CAT0102,CAT0008,2022-07-16,2,true
CAT0103,CAT0008,2020-10-18,9,false
CAT0104,CAT0008,2022-01-17,11,true
CAT0105,CAT0008,2021-05-11,4,true
CAT0106,CAT0008,2022-09-10,11,true
CAT0107,CAT0009,2022-09-27,4,false
CAT0108,CAT0009,2021-08-12,1,true
CAT0109,CAT0009,2019-08-14,2,true
CAT0110,CAT0009,2020-09-14,3,true
CAT0111,CAT0009,2019-08-19,12,false
CAT0112,CAT0009,2021-10-21,10,true
CAT0113,CAT0009,2022-06-07,5,false
CAT0114,CAT0009,2022-12-23,2,false
CAT0115,CAT0009,2019-10-30,12,false
CAT0116,CAT0009,2021-03-02,6,false
CAT0117,CAT0009,2022-04-04,6,true
CAT0118,CAT0009,2021-09-01,4,true
CAT0119,CAT0010,2021-03-17,11,true
CAT0120,CAT0010,2021-05-16,5,false
CAT0121,CAT0010,2019-09-03,5,true
CAT0122,CAT0010,2019-06-30,4,true
CAT0123,CAT0010,2020-06-24,1,false
CAT0124,CAT0010,2019-01-02,12,true
CAT0125,CAT0010,2022-03-06,9,true
CAT0126,CAT0010,2019-08-28,2,true
CAT0127,CAT0010,2021-04-19,4,false
CAT0128,CAT0010,2019-12-04,3,true
CAT0129,CAT0010,2020-07-09,4,true
CAT0130,CAT0010,2021-02-26,6,true
