userId,productId,viewedAt,duration,source
USR00001,PRD02647,2021-07-03,105,recommendation
USR00001,PRD00322,2023-04-19,227,recommendation
USR00001,PRD01373,2025-06-28,357,email
USR00001,PRD02064,2023-12-11,283,search
USR00001,PRD01156,2022-12-12,472,recommendation
USR00001,PRD01963,2022-05-11,357,recommendation
USR00001,PRD02297,2023-07-25,546,direct
USR00002,PRD02043,2023-03-02,495,ad
USR00002,PRD00320,2023-03-03,235,recommendation
USR00002,PRD01093,2023-10-21,475,social
USR00002,PRD02269,2023-07-05,245,homepage
USR00002,PRD00338,2025-04-25,89,social
USR00002,PRD01803,2025-12-13,358,email
USR00003,PRD01021,2021-05-08,305,ad
USR00003,PRD01333,2022-02-14,482,ad
USR00003,PRD00215,2025-09-10,515,recommendation
USR00003,PRD02750,2023-10-16,105,homepage
USR00003,PRD00311,2022-06-04,227,social
USR00003,PRD01687,2024-03-09,159,ad
USR00004,PRD00347,2024-03-08,135,social
USR00004,PRD00694,2024-10-24,481,direct
USR00004,PRD02472,2025-12-12,242,search
USR00004,PRD01811,2024-09-28,384,search
USR00004,PRD01071,2023-06-23,346,email
USR00004,PRD02965,2021-05-03,583,direct
USR00004,PRD01797,2022-09-17,130,recommendation
USR00005,PRD02029,2022-09-23,337,search
USR00005,PRD00400,2024-10-11,105,direct
USR00006,PRD02458,2023-01-02,258,search
USR00006,PRD02251,2023-01-31,499,ad
USR00006,PRD02842,2021-05-30,459,recommendation
USR00006,PRD00355,2023-04-03,278,recommendation
USR00006,PRD01832,2023-12-25,339,ad
USR00006,PRD02242,2024-03-18,315,direct
USR00007,PRD00805,2024-06-08,478,ad
USR00007,PRD01552,2021-11-17,90,direct
USR00007,PRD02936,2021-02-14,531,social
USR00007,PRD02855,2025-05-31,504,recommendation
USR00007,PRD02266,2025-04-23,368,direct
USR00008,PRD00686,2021-04-01,517,direct
USR00008,PRD01221,2025-02-08,579,direct
USR00008,PRD00489,2022-04-25,591,direct
USR00008,PRD02680,2025-03-25,346,search
USR00008,PRD02482,2021-01-26,292,email
USR00009,PRD00504,2023-11-13,448,direct
USR00009,PRD01945,2022-04-10,9,social
USR00009,PRD01469,2025-03-06,400,homepage
USR00009,PRD01551,2022-01-02,235,social
USR00009,PRD02617,2022-01-04,278,search
USR00009,PRD01457,2021-07-01,252,ad
USR00009,PRD01161,2024-10-05,47,search
USR00009,PRD01896,2022-07-16,478,search
USR00010,PRD02613,2024-12-06,448,recommendation
USR00010,PRD00317,2021-09-20,333,direct
USR00010,PRD01101,2021-08-30,537,social
USR00010,PRD01399,2021-02-07,540,search
USR00011,PRD01108,2024-02-06,496,direct
USR00011,PRD01940,2022-02-18,492,direct
USR00011,PRD02300,2025-05-24,394,recommendation
USR00011,PRD00418,2023-07-12,593,homepage
USR00011,PRD02292,2024-08-13,367,ad
USR00011,PRD02856,2021-10-12,376,homepage
USR00011,PRD02787,2023-08-01,305,direct
USR00012,PRD00044,2022-07-29,393,recommendation
USR00012,PRD01850,2021-07-05,473,homepage
USR00012,PRD02610,2023-06-23,473,direct
USR00012,PRD02775,2021-05-18,373,ad
USR00012,PRD01858,2025-04-08,552,direct
USR00012,PRD01813,2022-01-01,588,direct
USR00012,PRD00951,2021-01-05,405,search
USR00012,PRD02208,2025-06-19,589,direct
USR00013,PRD02515,2021-12-30,22,social
USR00013,PRD00777,2023-11-02,178,social
USR00014,PRD00852,2025-07-31,388,recommendation
USR00014,PRD02878,2025-12-10,242,homepage
USR00014,PRD01365,2023-10-27,501,social
USR00014,PRD02140,2023-10-15,20,direct
USR00014,PRD00564,2021-10-01,73,homepage
USR00014,PRD02596,2022-06-27,266,ad
USR00014,PRD01690,2025-10-04,323,search
USR00015,PRD00455,2024-09-09,394,email
USR00015,PRD02539,2024-09-05,279,recommendation
USR00015,PRD02329,2022-10-02,523,homepage
USR00015,PRD02974,2021-03-02,493,recommendation
USR00015,PRD00364,2022-03-18,125,direct
USR00015,PRD01209,2024-11-08,367,recommendation
USR00015,PRD02849,2025-04-09,137,homepage
USR00016,PRD01088,2022-03-08,268,email
